Ext_concept_id,LOCAL_CONCEPT_ID,Ext_concept_name,Ext_domain_id,Ext_vocabulary_id,Ext_concept_class_ID,Ext_STANDARD_CONCEPT,Ext_concept_code,Ext_Valid_start_date,Ext_Valid_end_date,Ext_Invalid_reason,Ext_PREDICATE_ID,Ext_CONFIDENCE,Ext_provenance,Ext_subvocabulary_id,,Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,CONFIDENCE,MODIFIER,NOTES,Dev_Version,,Choices_Calculations_OR_Slider_Labels,Field_Note,PhenX_Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,SRC_CODE_UNIT,SRC_CODE_DESCRIPTION_UNIT,UCUM_Concept_ID,MOCA_File_Fieldname,MOCA_File_Fieldname_Naming_Unit,MOCA_Example_Data,MOCA_Data_Type,MOCA_Value_Range,MOCA_Data_Description,Equivalent_NDA_MOCA_element_name
2005200010,2005200010,BCVA was not done,,AIREADI,,,,2024-04-11,2099-12-31,Null,,,,bcva,,Original,6/23/2023,Yes,Yes,open-source,Yes,bcva,checkbox,,1495,viaocmpyn,,,,,,,,,,,,,,10/2,,"999, BCVA was not done",,No,,,,,,,,,,,,,
2005200011,2005200011,Method used to complete form,Observation,AIREADI,Attribute,S,260686004,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,260686004,bcva,,Original,6/23/2023,Yes,Yes,open-source,Yes,bcva,radio,,1498,viaomthd,,Method used to complete form,4129438,,Method,Observation,SNOMED,Attribute,S,260686004,0.75,,,10/2,,"1, EVA | 2, ETDRS",,No,,,,,,,,,,,,,
2005200012,2005200012,Snellen fraction - Photopic VA - OD,Measurement,AIREADI,Clinical Observation,S,79880-1,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,79880-1,bcva,,Original,6/23/2023,Yes,Yes,open-source,Yes,bcva,text,,1505,viaodpsf,,Snellen fraction - Photopic VA - OD,21491744,,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,S,79880-1,0.75,,,10/2,,,,No,,,,,,,,,,,,,
2005200013,2005200013,Snellen fraction - Photopic VA - OS,Measurement,AIREADI,Clinical Observation,S,79881-9,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,79881-9,bcva,,Original,6/23/2023,Yes,Yes,open-source,Yes,bcva,text,,1506,viaospsf,,Snellen fraction - Photopic VA - OS,21491745,,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,S,79881-9,0.75,,,10/2,,,,No,,,,,,,,,,,,,
2005200014,2005200014,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",Observation,AIREADI,Clinical Observation,S,67434-1,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,67434-1,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1125,mhoccur_circ,,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",40770062,,History of Problems with your heart or circulation [PhenX],Observation,LOINC,Clinical Observation,S,67434-1,0.5,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200015,2005200015,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",Meas Value,AIREADI,Answer,S,LA20372-1,2024-04-11,2099-12-31,Null,skos:narrowMatch,0.75,LA20372-1,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1130,mhoccur_ad,,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",36210750,,Dementia,Meas Value,LOINC,Answer,S,LA20372-1,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200016,2005200016,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",Meas Value,AIREADI,Answer,S,LA17005-2,2024-04-11,2099-12-31,Null,skos:narrowMatch,0.75,LA17005-2,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1143,mhoccur_ua,,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",45877281,,Urinary tract problems,Meas Value,LOINC,Answer,S,LA17005-2,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200017,2005200017,Kidney problems,Meas Value,AIREADI,Answer,S,LA4591-9,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,LA4591-9,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1144,mhoccur_rnl,,Kidney problems,45881016,,Kidney,Meas Value,LOINC,Answer,S,LA4591-9,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200018,2005200018,Were either of your parents diagnosed with Type II Diabetes?,Observation,AIREADI,Context-dependent,S,160303001,2024-04-11,2099-12-31,Null,skos:closeMatch,0.5,160303001,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1147,fh_dm2pt,,Were either of your parents diagnosed with Type II Diabetes?,4051114,,Family history of diabetes mellitus,Observation,SNOMED,Context-dependent,S,160303001,0.5,,,10/2,,"1, Yes | 0, No | 555, Unknown | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200019,2005200019,Has a sibling been diagnosed with Type II Diabetes?,Observation,AIREADI,Context-dependent,S,430679000,2024-04-11,2099-12-31,Null,skos:broadMatch,0.5,430679000,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1149,fh_dm2sb,,Has a sibling been diagnosed with Type II Diabetes?,4334340,,Family history of diabetes mellitus type 2,Observation,SNOMED,Context-dependent,S,430679000,0.5,,,10/2,,"1, Yes | 0, No | 555, Unknown | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200020,2005200020,Cataracts (in one or both eyes),Meas Value,AIREADI,Answer,S,LA16306-5,2024-04-11,2099-12-31,Null,skos:broadMatch,1,LA16306-5,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,radio,,1153,mhoccur_crt,,Cataracts (in one or both eyes),45876993,,Cataracts,Meas Value,LOINC,Answer,S,LA16306-5,1,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200021,2005200021, Health Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,text,,1161,mhstartts,, Health Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200022,2005200022, Heath Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,health_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,health_survey,text,,1162,mhcmpts,, Heath Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200023,2005200023,How many total years have you smoked?,Observation,AIREADI,Clinical Observation,S,88029-4,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,88029-4,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1169,susmkstoage,,How many total years have you smoked?,36303803,,Tobacco use duration,Observation,LOINC,Clinical Observation,S,88029-4,0.5,,,10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 51, 51 | 52, 52 | 53, 53 | 54, 54 | 55, 55 | 56, 56 | 57, 57 | 58, 58 | 59, 59 | 60, 60 | 98, More than 60 years | 999, Prefer not to say",,,,,,,,,,,,,,,
2005200024,2005200024,Have you had any beer or ale in the past year?,Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1174,subrkncf,,Have you had any beer or ale in the past year?,4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200025,2005200025,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1175,subrdosfr,,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14  or 2 drinks per night in a week | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 or 3 drinks per night in a week | 22, 22 to 28 | 29, 29 to 35 | 36, 36 or more | 999, Prefer not to say",,,,,,,,,,,,,,,
2005200026,2005200026,Have you had any wine in the past year?,Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1176,suwnkncf,,Have you had any wine in the past year?,4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200027,2005200027,"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1177,suwndosfr,,"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 (1 bottle) | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (2 bottles) | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 (3 bottles) | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 (4 bottles) | 21, 21-25 (5 bottles) | 26, 26-30 (6 bottles) | 31, 31-35 (7 bottles) | 35, More than 36 (greater than 7 bottles) | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200028,2005200028,"Have you had any liquor in the past year, such as brandy, whiskey, vodka, gin, schnapps, cocktails, or liqueurs?",Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1178,sulqkncf,,"Have you had any liquor in the past year, such as brandy, whiskey, vodka, gin, schnapps, cocktails, or liqueurs?",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200029,2005200029,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",Observation,AIREADI,Observable Entity,S,363905002,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,363905002,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1179,sulqdosfr,,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 (or 1 per day) | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 (or 2 per day) | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 (or 3 per day) | 22, 22-28 | 29, 29-35 | 36, More than 36 | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200030,2005200030,"Do you drive after having a drink, even if it is only one drink?",Observation,AIREADI,Observable Entity,S,405137009,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,405137009,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1180,sualcdrv,,"Do you drive after having a drink, even if it is only one drink?",4226563,,Risk control behavior: alcohol use,Observation,SNOMED,Observable Entity,S,405137009,0.25,,,10/2,,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200031,2005200031,Have you ever vaped or used e-cigarettes?,Observation,AIREADI,OMOP Extension,S,OMOP5181836,2024-04-11,2099-12-31,Null,skos:broadMatch,0.25,OMOP5181836,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1181,suvpkncf1,,Have you ever vaped or used e-cigarettes?,903655,,Electronic cigarette smoker,Observation,SNOMED,OMOP Extension,S,OMOP5181836,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200032,2005200032,At what age did you start vaping or using e-cigarettes? (Age started - years old),Observation,AIREADI,Clinical Finding,S,OMOP5181836,2024-04-11,2099-12-31,Null,skos:narrowMatch,0.25,OMOP5181836,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1182,suvpstage,,At what age did you start vaping or using e-cigarettes? (Age started - years old),903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,1,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 51, 51 | 52, 52 | 53, 53 | 54, 54 | 55, 55 | 56, 56 | 57, 57 | 58, 58 | 59, 59 | 60, 60 | 98, More than 60 years old | 999, Prefer not to say",,,,,,,,,,,,,,,
2005200033,2005200033,Do you vape or use e-cigarettes now?,Observation,AIREADI,Clinical Finding,S,OMOP5181836,2024-04-11,2099-12-31,Null,skos:narrowMatch,0.25,OMOP5181836,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1183,suvpcdur,,Do you vape or use e-cigarettes now?,903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,2,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200034,2005200034,How many total years have you vaped or used e-cigarettes?,Observation,AIREADI,Clinical Finding,S,OMOP5181836,2024-04-11,2099-12-31,Null,skos:narrowMatch,0.25,OMOP5181836,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1184,suvptoage,,How many total years have you vaped or used e-cigarettes?,903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,3,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 98, More than 20 years | 999, Prefer not to say",,,,,,,,,,,,,,,
2005200035,2005200035,"When you vaped or used e-cigarettes, approximately how many days in a typical week would you use it?",Observation,AIREADI,Attribute,S,103335007,2024-04-11,2099-12-31,Null,skos:broadMatch,0.5,103335007,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1185,suvpdosfr,,"When you vaped or used e-cigarettes, approximately how many days in a typical week would you use it?",4014044,,Duration,Observation,SNOMED,Attribute,S,103335007,0.5,,,10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 999, Prefer not to answer",,,,,,,,,,,,,,,
2005200036,2005200036,"Have you ever used marijuana (cannabis)? (This includes smoking marijuana, using cannabis concentrates, and edibles.)",Condition,AIREADI,Clinical Finding,S,733460004,2024-04-11,2099-12-31,Null,skos:closeMatch,0.5,733460004,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,radio,,1186,sumrjkncf,,"Have you ever used marijuana (cannabis)? (This includes smoking marijuana, using cannabis concentrates, and edibles.)",37116660,,Marijuana user,Condition,SNOMED,Clinical Finding,S,733460004,0.5,1,"1= ever used, 2 = currently use, 3= route form of marijuana use, 4= total years used, 5=how many days in typical week",10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200037,2005200037,In what form do you usually use marijuana?  (check all that apply),Condition,AIREADI,Clinical Finding,S,733460004,2024-04-11,2099-12-31,Null,skos:closeMatch,0.5,733460004,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,checkbox,,1189,sumrjtrt,,In what form do you usually use marijuana?  (check all that apply),37116660,,Marijuana user,Condition,SNOMED,Clinical Finding,S,733460004,0.5,3,"1= ever used, 2 = currently use, 3= route form of marijuana use, 4= total years used, 5=how many days in typical week",10/2,,"1, Inhaled/Smoked (for example: joints, blunts, bongs, vaping, dabs, )| 2, Oral/Edibles  (for example: oils, tinctures, beverages, capsules, sprays)  | 3, Topical (for example: sprays or oils) | 777, Prefer not to say",,,,,,,,,,,,,,,
2005200038,2005200038,How many total years have you used marijuana?,Condition,AIREADI,Clinical Finding,S,733460004,2024-04-11,2099-12-31,Null,skos:closeMatch,0.5,733460004,substance_use_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,substance_use_survey,dropdown,,1190,sumrjceddur,,How many total years have you used marijuana?,37116660,,Marijuana user,Condition,SNOMED,Clinical Finding,S,733460004,0.5,4,"1= ever used, 2 = currently use, 3= route form of marijuana use, 4= total years used, 5=how many days in typical week",10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 98, More than 50 years | 999, Prefer not to say",,,,,,,,,,,,,,,
