Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
svy_mgmt_hdr_4,ehr_information,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #666666;""><strong>Auto-Populated Values</strong></span></h6> </div> </div></div>",,,,,,,,,,,,,
recruitment_access_code,ehr_information,,text,"<div class=""rich-text-field-label""><p><i class=""fas fa-desktop"">ÿ</i> Recruitment survey access code</p></div>",,"<span class=""text-primary"">* Used for mailing</span>",,,,,,,LV,,,," @CALCTEXT(if([record_id] <> '', [survey-access-code:recruitment_survey], ''))"
recruitment_url,ehr_information,,text,"<div class=""rich-text-field-label""><p><i class=""fas fa-desktop"">ÿ</i> Recruitment survey url</p></div>",,"<span class=""text-primary"">* Used for mailing</span>",,,,,,,LV,,,," @CALCTEXT(if([record_id] <> '', [survey-url:recruitment_survey], ''))"
pipe_site_contact,ehr_information,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;""><i class=""fas fa-clone"">ÿ</i> Pipe site contactÿ</span></p></div>","uab, <p><strong>AI-READI Team Birmingham</strong><br/>Ph: (205) 297-0408<br/>Email: <a href=""mailto:ai-readi@uabmc.edu"" target=""_blank"" rel=""noopener"">ai-readi@uabmc.edu</a></p> | ucsd, <p><strong>AI-READI Team San Diego County</strong><br/> Ph: (858) 822-4669<br/>Email: <a href=""mailto:ai-readi@health.ucsd.edu"" target=""_blank"" rel=""noopener"">ai-readi@health.ucsd.edu</a></p> | uwa, <p><strong>AI-READI Team Seattle:</strong><br/>Ph: (206) 710-6689<br/>Email: <a href=""mailto:ai-readi@uw.edu"" target=""_blank"" rel=""noopener"">ai-readi@uw.edu</a></p>",,,,,,,,LV,,,, @SETVALUE='[record-dag-name]' @READONLY
pipe_site_asi_contact,ehr_information,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;""><i class=""fas fa-clone"">ÿ</i> Pipe site full contact for ASI</span></p></div>","uab, <p><strong>AI-READI Team Birmingham</strong><br/>Ph: (205) 297-0408<br/>Email: <a href=""mailto:ai-readi@uabmc.edu"" target=""_blank"" rel=""noopener"">ai-readi@uabmc.edu</a><br/>Clinical Research Unit, Suite 609<br/>Callahan Eye Foundation Hospital</br>1720 University Blvd., Birmingham, AL 35233</p> | ucsd, <p><strong>AI-READI Team San Diego County:</strong><br/> Ph: (858) 822-4669<br/>Email: <a href=""mailto:ai-readi@health.ucsd.edu"" target=""_blank"" rel=""noopener"">ai-readi@health.ucsd.edu</a><br/>UCSD Shiley Eye Institute / Hamilton Glaucoma Center (HGC)<br/>9415 Campus Point Drive, La Jolla, CA 92037</p> | uwa, <p><strong>AI-READI Team Seattle:</strong><br/>Ph: (206) 710-6689<br/>Email: <a href=""mailto:ai-readi@uw.edu"" target=""_blank"" rel=""noopener"">ai-readi@uw.edu</a><br/>University of Washington Diabetes Institute Clinic<br/>750 Republican Street, Seattle WA 98109</p>",,,,,,,,LV,,,, @SETVALUE='[record-dag-name]' @READONLY
pipe_institution,ehr_information,,radio,"<div class=""rich-text-field-label""><p><i class=""fas fa-clone"">ÿ</i> Pipe institution name</p></div>","uab, Birmingham (UAB) | ucsd, San Diego/La Jolla (UCSD) | uwa, Seattle (UW)",,,,,,,,LV,,,, @SETVALUE = '[record-dag-name]' @READONLY
pipe_site_email,ehr_information,,text,Pipe site email for alerts & notifications,,,email,,,,,,LV,,,," @CALCTEXT(if([pipe_site_contact] <>'', if([pipe_site_contact] = 'uab', 'ai-readi@uabmc.edu', if([pipe_site_contact] = 'ucsd', 'ai-readi@health.ucsd.edu', if([pipe_site_contact] = 'uwa', 'ai-readi@uw.edu', ''))), ''))"
street,mailing_information,,text,Street/PO Box,,,,,,y,,,LV,,,,
city,mailing_information,,text,City,,,,,,y,,,LV,,,,
state,mailing_information,,dropdown,State,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia",,autocomplete,,,,,,LV,,,,
zip,mailing_information,,text,Zip Code,,,zipcode,,,y,,,LV,,,,
mgmtdat,recruitment_survey_management,,text,Date initial mailing to be sent,,"<span class=""text-primary"">* Used to in the logic that triggers ASI to recruitment survey</span>",date_mdy,,,y,,,LV,,,, @HIDEBUTTON
siteid,recruitment_survey_management,,text,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Site</span></p></div>",,,,,,,,,LV,,,," @CALCTEXT(if([record-dag-name] <>'', if([record-dag-name] = 'uab', 'X', if([record-dag-name] = 'ucsd', 'Y', if([record-dag-name] = 'uwa', 'Z', ''))), ''))"
age,recruitment_survey_management,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Age</span></p></div>","rounddown(datediff([brthdat],[mgmtdat],'y', true),2)",,,,,,,,LV,,,,
svy_mgmt_hdr,recruitment_survey_management,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #169179;""><i class=""fas fa-envelope"">ÿ</i> <strong>Resume Screening & Consent Surveys: <span style=""font-weight: normal;"">Send email after participant contact</span></strong></span></h6> </div> </div></div>",,,,,,,"([faq_survey_complete] = '2' and [scrn_intst2] = '2') or 
([preconsent_survey_complete] = '2' and [icf_c16468] = '2') or 
([screening_survey_complete] = '2' and [mhterm_predm] = '1' and [cmtrt_insln] = '1')",,,,,,
svy_mgmt_inst,recruitment_survey_management,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: .9em;""><span style=""color: #015f1a; font-weight: normal;"">These are manual triggers for staff to send a survey invitatation when the participant has responded to a survey in such a way that the ""survey taking process"" was interrupted and staff were required to follow up to address questions or issues to move the participant forward.</span></p></div>",,,,,,,"([faq_survey_complete] = '2' and [scrn_intst2] = '2') or 
([preconsent_survey_complete] = '2' and [icf_c16468] = '2') or 
([screening_survey_complete] = '2' and [mhterm_predm] = '1' and [cmtrt_insln] = '1')",,,,,,
screen_alert_trigger,recruitment_survey_management,,checkbox,"<div class=""rich-text-field-label""><p class=""mt-2"">FAQ Follow Upÿ<span style=""font-weight: normal;""><br /><span style=""color: #169179; font-size: 0.9em;""><i class=""fas fa-arrow-circle-right"">ÿ</i><em>Move participant forward to Screening</em></span></span></p></div>","1, Send participant invitation to resume surveys starting at the <em style=""color: #169179;"">Screening</em> survey",,,,,,[faq_survey_complete] = '2' and [scrn_intst2] = '2',,LV,,,,
consent_alert_trigger,recruitment_survey_management,,checkbox,"<div class=""rich-text-field-label""><p>Pre-Consent Follow Up<br /><span style=""color: #169179; font-size: 0.9em; font-weight: normal;""><i class=""fas fa-arrow-circle-right"">ÿ</i><em>Move participant forward to Consent</em></span></p></div>","1, Send participant invitation to resume surveys starting at the <em style=""color: #169179;"">Consent</em> survey",,,,,,[preconsent_survey_complete] = '2' and [icf_c16468] = '2' and [c184390(1)] = '0',,LV,,,,
svy_mgmt_hdr_3,recruitment_survey_management,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #e03e2d;""><i class=""fas fa-hand-paper"">ÿ</i> <strong>Stop Surveys</strong></span></h6> </div> </div></div>",,,,,,,,,,,,,
svy_mgmt_inst_2,recruitment_survey_management,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: .9em;""><span style=""font-weight: normal; color: #8b1203;"">This is for participants who have requested to no longer receive invitations or staff are getting bounce back emails.</span></p></div>",,,,,,,,,,,,,
stop_srvy,recruitment_survey_management,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Cancel survey invitations</span></p></div>","1, Checking this box and saving the form cancels any scheduled automated invitations and prevents any future invitations from being scheduled",,,,,,,,LV,,,,
reccmpdat,recruitment_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Recruitment survey date <span style=""font-weight: normal;"">(date survey/form opened)</span></span></p></div>",,,date_mdy,,,,,,LV,,,, @HIDDEN-SURVEY @TODAY
rec_crcid,recruitment_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer Code</span></p></div>",,,,,,,[survey-time-completed:recruitment_survey] = '',,LV,,,, @HIDDEN-SURVEY
recruit_nd,recruitment_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Recruitment survey not done",,,,,,[survey-time-completed:recruitment_survey] = '',,LV,,,, @HIDDEN-SURVEY
recruitment_msg_1,recruitment_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""card""> <h5 class=""card-header""><a name=""study""></a>About the Study</h5> <div class=""card-body""> <p class=""card-text""><img class=""rounded"" style=""float: right; margin-left: 15px; margin-bottom: 10px; border: 1px solid #000;"" src=""https://octri.ohsu.edu/redcap/redcap_v13.4.11/DataEntry/image_view.php?pid=6352&id=428631&doc_id_hash=6ed32f70d8eb6925f69918f0dee97e391f45876b"" alt="""" width=""200"" height=""133"" />Did you know that an estimated 33 million people are living with diabetes in the United States? <span style=""font-weight: normal;""> Type 2 diabetes accounts for 90-95% of all cases of diabetes, and while it typically develops in adults over the age of 45, there are increasing numbers of children, teenagers, and young adults diagnosed each year.</span></p> <p class=""card-text""><span style=""font-weight: normal;"">Roughly 38% of the adult population (96 million) in the United States have prediabetes. Having type 2 diabetes places one at risk for serious health issues and due to its overwhelming prevalence, we are all impacted by this disease.</span></p> <p class=""card-text""><span style=""font-weight: normal;"">Our team, funded by the National Institutes of Health (NIH), is undertaking an innovative and exciting study on persons with type 2 diabetes. We are developing a thoughtfully designed, ethically collected, and comprehensive dataset for researchers to use with the ultimate goal of identifying the root causes of type 2 diabetes so that treatments and prevention strategies can be successfully developed. Most importantly, we are focused on studying a diverse group of people from three geographic locations in the US - Alabama, California, and Washington. This study will be inclusive and diverse so that it might lead to important break-throughs in type 2 diabetes that will help everyone. We are also inviting people who do not have type 2 diabetes to participate in the study.</span></p> <p class=""card-text""><span style=""font-weight: normal;"">We have contacted you because we hope that you will help us in our endeavor to better understand type 2 diabetes.</span></p> <ul> <li class=""card-text""><span style=""font-weight: normal;"">To find answers to frequently asked questions on eligibility, what would be expected of you as a participant, compensation, and more, OR if you would a study team member to call you to answer any questions you have, please click on ""I still have questions"" and click the ""Nextpage"" button below.</span></li> <li class=""card-text""><span style=""font-weight: normal;"">If you would like to participate in this important study, select ""Yes, I'm interested"" and click the ""Next page"" button below to learn if you are eligible.</span></li> </ul> <p class=""card-text""><span style=""font-weight: normal;"">We hope to hear from you!</span></p> </div> </div></div>",,,,,,,[recruit_nd(999)] = '0',,,,,,
recruitment_msg_2,recruitment_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""card""> <h5 class=""card-header""><a name=""help""></a>What can you do to help?</h5> <div class=""card-body""> <p class=""card-text""><img class=""rounded"" style=""float: right; border: 1px solid #000; margin-left: 15px; margin-bottom: 10px;"" src=""https://octri.ohsu.edu/redcap/redcap_v13.4.11/DataEntry/image_view.php?pid=6352&id=428633&doc_id_hash=d7b69c72e5f7ac85873b96c3a3c0b2550c165a72"" alt="""" width=""200"" height=""133"" /><span style=""font-weight: normal;"">We have contacted you because we hope that you will help us in our endeavor to better understand type 2 diabetes!</span></p> <ul> <li class=""card-text""><span style=""font-weight: normal;"">To find answers to frequently asked questions on eligibility, what would be expected of you as a participant, compensation, and more, OR if you would a study team member to call you to answer any questions you have, please click on ""I still have questions"" and click the ""Next page"" button below.ÿ</span></li> <li class=""card-text""><span style=""font-weight: normal;"">If you would like to participate in this important study, select ""Yes, I'm interested"" and click the ""Next page"" button below to learn if you are eligible. </span></li> </ul> <p><span style=""font-weight: normal;"">We hope to hear from you!</span></p> </div> </div></div>",,,,,,,[recruit_nd(999)] = '0',,,,,,
scrn_intst1,recruitment_survey,,radio,"<div class=""rich-text-field-label""><p>Are you interested to learn if you're eligible for our research study?</p></div>","1, Yes, I'm interested | 2, I have questions | 0, No I'm not interested at this time",,,,,,[recruit_nd(999)] = '0',y,LV,,,,
survey_timestamps_hdr_4,recruitment_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #666666;""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></span></h6> </div> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
recstartts,recruitment_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Recruitment Survey Started Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-started:recruitment_survey]<> '', [survey-time-started:recruitment_survey],''))"
reccmpts,recruitment_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Recruitment Survey Completed Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:recruitment_survey]<> '', [survey-time-completed:recruitment_survey],''))"
faqcmpdat,faq_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> FAQ survey date <span style=""font-weight: normal;"">(date survey/form opened)</span></span></p></div>",,,date_mdy,,,,,,LV,,,, @HIDDEN-SURVEY @TODAY
crcid_faq,faq_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer Code</span></p></div>",,,,,,,[survey-time-completed:faq_survey] = '',,LV,,,, @HIDDEN-SURVEY
faq_nd,faq_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, FAQ survey not done",,,,,,[survey-time-completed:faq_survey] = '',,LV,,,, @HIDDEN-SURVEY
