Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub,Protected_or_open-source,EXTENSION_NEEDED,FORM_NAME,MOCA_FILE_FIELDNAME,MOCA_FILE_FIELDNAME_NAMING_UNIT,SRC_CODE,SRC_CODE_DESCRIPTION,UCUM_CONCEPT_ID,Example_Data,Data_Type,Value_Range,Data_Description,Equivalent_NDA_MOCA_element_name,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,qualifier_concept_id,qualifier_source_value,NOTES,Choices_Calculations_OR_Slider_Labels,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Memory Trial 2(sec.),memorytrial2_time,memory_trial2_time,Time in seconds to perform the above task.,8555,4,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200348,Words correctly repeated test (2nd trial),,,AIREADI,MOCA,Memory Trial 2(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Digit Span,,digitspan,Repeating digits score,44777566,2,Integer,0-2,Repeating digits score,attention_digit,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200349,Repeating digits test,,,AIREADI,MOCA,Digit Span,Observation,Repeating digits score,782487009:skos:exactMatch:1:,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,digitspan_time,Time in seconds to perform the above task.,8555,6,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200349,Repeating digits test,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Letter A,,lettera,Letter tapping score,44777566,0,Integer,0-1,Letter tapping score,attention_letter,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200350,Letter tapping test,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),lettera_time,lettera_time,Time in seconds to perform the above task.,8555,23,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200350,Letter tapping test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Subtraction,,subtraction,Serial 7 subtraction score,44777566,3,Integer,0-3,Serial 7 subtraction score,attention_subtraction,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200351,Serial 7 subtraction score,,,AIREADI,MOCA,Subtraction,Observation,Serial 7 subtraction score,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),subtraction_time,subtraction_time,Time in seconds to perform the above task.,8555,31,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200351,Serial 7 subtraction score,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Repetition,,repetition,Repeats sentences II,,2,Integer,0-2,Repeats sentences II,mull_el_rs2,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200352,Repeats sentences II test,,,AIREADI,MOCA,Repetition,Observation,Repeats sentences II,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),repetition_time,repetition_time,Time in seconds to perform the above task.,8555,5,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200352,Repeats sentences II test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Fluency,,fluency_language,Maximal one-minute recall of words beginning with 'F',,0,Integer,0-1,Maximal one-minute recall of words beginning with 'F',language_letter,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200353,Verbal fluency letter test,,,AIREADI,MOCA,Fluency,Observation,Maximal one-minute recall of words beginning with 'F',,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),fluency_language_time,fluency_language_time,Time in seconds to perform the above task.,8555,60,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200353,Verbal fluency letter test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Abstraction,,moca_abstraction,MOCA abstraction,,2,Integer,0-2,MOCA abstraction,mabst,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200354,MOCA abstraction test,,,AIREADI,MOCA,Abstraction,Observation,MOCA abstraction,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),abstraction_time,moca_abstraction_time,Time in seconds to perform the above task.,8555,9,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200354,MOCA abstraction test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Delayed Recall,,delayed_recall_with_no_clue,MOCA delayed recall with no cue,,5,Integer,0-5,MOCA delayed recall with no cue,mdrnc,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200355,MOCA delayed recall test,,,AIREADI,MOCA,Delayed Recall,Observation,MOCA delayed recall with no cue,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),delayedrecall_time,delayed_recall_with_no_clue_time,Time in seconds to perform the above task.,8555,4,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200355,MOCA delayed recall test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Orientation,,moca_orientation,"MOCA orientation date, month, year, day, place, city",,6,Integer,0-6,"MOCA orientation date, month, year, day, place, city","modate, momon, moyear, moday, mopl, mocity",36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200356,MOCA orientation test,,,AIREADI,MOCA,Orientation,Observation,"MOCA orientation date, month, year, day, place, city",,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Time(sec.),orientation_time,moca_orientation_time,Time in seconds to perform the above task.,8555,6,Integer,,Time in seconds to perform the above task.,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,2005200356,MOCA orientation test,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,4/5/2024,No,,protected,No,MOCA (Version 8.1),Subject's Gender,,sex_at_birth,Sex of subject at birth,,Female,String,,Sex of subject at birth,sex,0,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,,,AIREADI,,Subject's Gender,Observation,Sex of subject at birth,76689-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Subject's Education,,years_of_education,Years of school education,9448,16,Integer,,Years of school education,years_of_school,42528764,,Years of education [#] - Reported,Observation,LOINC,Clinical Observation,S,82590-1,skos:exactMatch,1,,,,,,AIREADI,,Subject's Education,Observation,Years of school education,82590-1:skos:exactMatch:1:,
Changed,5/22/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Age Range,,age_years_at_interview,"pull down menu of 3-4 year age spans, age in years",,24 - 26,Integer Range,,"pull down menu of 3-4 year age spans, age in years","not exactly the same as interview_age, which is in months",2005200357,2005200357,Age in years (3-4 year span),Observation,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,,,AIREADI,MOCA,Age Range,Observation,"pull down menu of 3-4 year age spans, age in years",,
Changed,5/1/2024,Yes,,open-source,No,MOCA (Version 8.1),MIS Score,,moca_combined_mis_score,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,15,Integer,0-15,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)","mdrnc, mdrcc, mdrmcc",36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,2005200358,MOCA delayed recall test combined,,,AIREADI,MOCA,MIS Score,Observation,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Total Time,,moca_total_score_time,total time data for entire test,,03 mins 28seconds,Time Duration,,total time data for entire test,none,4090056,,Test time,Observation,SNOMED,Observable Entity,S,252127002,skos:exactMatch,1,,606671,Montreal Cognitive Assessment version 8.1,,,AIREADI,,Total Time,Observation,total time data for entire test,252127002:skos:exactMatch:1:,
Changed,5/8/2025,Yes,,open-source,No,MOCA (Version 8.1),Total Score,,moca_total_score,Montreal Cognitive Assessment Total Score,,24,Integer,0-30,Montreal Cognitive Assessment Total Score,moca_total,36684305,,Assessment score,Measurement,SNOMED,Observable Entity,S,782487009,skos:exactMatch,1,,606671,Montreal Cognitive Assessment version 8.1,,,AIREADI,,Total Score,Observation,Montreal Cognitive Assessment Total Score,782487009:skos:exactMatch:1:,
Changed,7/23/2024,Yes,Yes,open-source,No,,MOCA_TYPE_CONCEPT_ID,,app_generated,Application Generated Data,,,,,,,37161934,,Information gathering from automated entry,Observation,SNOMED,Procedure,S,,skos:closeMatch,0.75,,,,,,AIREADI,MOCA,MOCA_TYPE_CONCEPT_ID,,,,
Changed,7/23/2024,Yes,Yes,open-source,No,,MOCA_TYPE_CONCEPT_ID,,manually_entered_from_paper,Manually Entered Data Using a Paper Form,,,,,,,37161935,,Information gathering from manual entry,Observation,SNOMED,Procedure,S,,skos:closeMatch,0.75,,,,,,AIREADI,MOCA,MOCA_TYPE_CONCEPT_ID,,,,
,,,,,,,,,second ,second UCUM unit in second,,,,,,,8555,,second UCUM unit in second,Unit,,,,,,,,,,,,,,,,,,
