Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub,Protected or open-source?,Extension Needed?,FORM_NAME,MOCA File Fieldname,MOCA File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Target_Domain_ID,Example Data,Data Type,Value Range,Data Description,Equivalent NDA MOCA element name (at https://nda.nih.gov/data_structure.html?short_name=moca01),TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,"Choices, Calculations, OR Slider Labels",Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,,,,measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200525,2005200525,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Letter A,,,,,observation,0,Integer,0-1,Letter tapping score,attention_letter,2005200526,2005200526,Letter tapping score,observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),lettera_time,sec,seconds,8555,measurement,23,Integer,,Time in seconds to perform the above task.,none,2005200527,2005200527,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Subtraction,,,,,observation,3,Integer,0-3,Serial 7 subtraction score,attention_subtraction,2005200528,2005200528,Serial 7 subtraction score,observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Subtraction,Observation,Serial 7 subtraction score,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),subtraction_time,sec,seconds,8555,measurement,31,Integer,,Time in seconds to perform the above task.,none,2005200529,2005200529,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Repetition,,,,,observation,2,Integer,0-2,Repeats sentences II,mull_el_rs2,2005200530,2005200530,Repeats sentences II,observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Repetition,Observation,Repeats sentences II,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),repetition_time,,,,measurement,5,Integer,,Time in seconds to perform the above task.,none,2005200531,2005200531,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Fluency,,,,,observation,0,Integer,0-1,Maximal one-minute recall of words beginning with 'F',language_letter,2005200532,2005200532,Maximal one-minute recall of words beginning with 'F',observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Fluency,Observation,Maximal one-minute recall of words beginning with 'F',,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),fluency_time,sec,seconds,8555,measurement,60,Integer,,Time in seconds to perform the above task.,none,2005200533,2005200533,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Abstraction,,,,,observation,2,Integer,0-2,MOCA abstraction,mabst,2005200534,2005200534,MOCA abstraction,observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Abstraction,Observation,MOCA abstraction,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),abstraction_time,,,,measurement,9,Integer,,Time in seconds to perform the above task.,none,2005200535,2005200535,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Delayed Recall,,,,,observation,5,Integer,0-5,MOCA delayed recall with no cue,mdrnc,2005200536,2005200536,MOCA delayed recall with no cue,observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Delayed Recall,Observation,MOCA delayed recall with no cue,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),delayedrecall_time,sec,seconds,8555,measurement,4,Integer,,Time in seconds to perform the above task.,none,2005200537,2005200537,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Orientation,,,,,observation,6,Integer,0-6,"MOCA orientation date, month, year, day, place, city","modate, momon, moyear, moday, mopl, mocity",2005200538,2005200538,"MOCA orientation date, month, year, day, place, city",observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Orientation,Observation,"MOCA orientation date, month, year, day, place, city",,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),orientation_time,sec,seconds,8555,measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200539,2005200539,Time in seconds to perform the above task.,measurement,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,4/5/2024,No,,,No,MOCA (Version 8.1),Subject's Gender,,,,,person,Female,String,,Sex of subject at birth,sex,46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,AIREADI,,Subject's Gender,Observation,Sex of subject at birth,76689-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Subject's Education,,,,,observation,16,Integer,,Years of school education,years_of_school,42528764,,Years of education [#] - Reported,Observation,LOINC,Clinical Observation,S,82590-1,skos:exactMatch,1,,,,AIREADI,,Subject's Education,Observation,Years of school education,82590-1:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Age Range,,,,,observation,24 - 26,Integer Range,,"pull down menu of 3-4 year age spans, age in years","not exactly the same as interview_age, which is in months",2005200540,2005200540,"pull down menu of 3-4 year age spans, age in years",observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,Age Range,Observation,"pull down menu of 3-4 year age spans, age in years",,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),MIS Score,,,,,observation,15,Integer,0-15,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)","mdrnc, mdrcc, mdrmcc",2005200541,2005200541,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",observation,AIREADI-MOCA,,,,,,,,,AIREADI,MOCA,MIS Score,Observation,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Total Time,,,,,measurement,03 mins 28seconds,Time Duration,,total time data for entire test,none,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:closeMatch,0.75,,,,AIREADI,,Total Time,Observation,total time data for entire test,99423-6:skos:closeMatch:0.75:,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Total Score,,,,,observation,24,Integer,0-30,Montreal Cognitive Assessment Total Score,moca_total,36684973,,Montreal cognitive assessment score,Observation,SNOMED,Observable Entity,S,459651000124107,skos:exactMatch,1,,,,AIREADI,,Total Score,Observation,Montreal Cognitive Assessment Total Score,459651000124107:skos:exactMatch:1:,
