Map_to_OMOP,Protected_or_open-source,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,temp_Question_or_Answer,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value
Yes,open-source,bcva,text,,1512,Question,viaosmsf,,Snellen fraction - Mesopic VA - OS,2005200055,2005200055,Snellen fraction - Mesopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,
Yes,open-source,bcva,radio,viaomthd,3035,Answer,1,viaomthd_1,EVA,2005200058,2005200058,EVA,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,
Yes,open-source,mesopic_mars,text,,1570,Question,mlcsodfcl,,OD: Value of final correct letter,2005200486,2005200486,"OD: Value of final correct letter - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,mesopic_mars,text,,1571,Question,mlcsodmiss,,OD: Number of misses prior to stopping,2005200487,2005200487,"OD: Number of misses prior to stopping - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,mesopic_mars,calc,,1572,Question,mlcsodlog,,OD: Log Contrast Sensitivity,2005200552,2005200552,"OD: Log Contrast Sensitivity - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,mesopic_mars,text,,1582,Question,mlcsosfcl,,OS: Value of final correct letter,2005200488,2005200488,"OS: Value of final correct letter - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,mesopic_mars,text,,1583,Question,mlcsosmiss,,OS: Number of misses prior to stopping,2005200489,2005200489,"OS: Number of misses prior to stopping - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,mesopic_mars,calc,,1584,Question,mlcsoslog,,OS: Log Contrast Sensitivity,2005200553,2005200553,"OS: Log Contrast Sensitivity - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,photopic_mars,text,,1530,Question,plcsodfcl,,OD: Value of final correct letter,2005200338,2005200338,"OD: Value of final correct letter - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,photopic_mars,text,,1531,Question,plcsodmiss,,OD: Number of misses prior to stopping,2005200339,2005200339,"OD: Number of misses prior to stopping - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,photopic_mars,calc,,1532,Question,plcsodlog,,OD: Log Contrast Sensitivity,2005200155,2005200155,"OD: Log Contrast Sensitivity - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye
Yes,open-source,photopic_mars,text,,1542,Question,plcsosfcl,,OS: Value of final correct letter,2005200340,2005200340,"OS: Value of final correct letter - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,photopic_mars,text,,1543,Question,plcsosmiss,,OS: Number of misses prior to stopping,2005200341,2005200341,"OS: Number of misses prior to stopping - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,photopic_mars,calc,,1544,Question,plcsoslog,,OS: Log Contrast Sensitivity,2005200156,2005200156,"OS: Log Contrast Sensitivity - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtop_odd,,OptoMed-Disc centered-CFP,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtop_odm,,OptoMed-Mac centered-CFP,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtei_odir,,Eidon-UWF Central-IR,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtei_odfaf,,Eidon-UWF Central-FAF,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_odc,,Eidon-UWF Central-CFP,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_odn,,Eidon-UWF Nasal-CFP,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_odt,,Eidon-UWF Temporal-CFP,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_odm,,Eidon-Create Mosaic Image-CFP,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_odo,,Spec-ONH-RC-HR-OCT,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_odp,,Spec-PPole Mac-HR-61 lines-OCT,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_odm,,Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_odm1,,Cirrus-Mac Cube-512x128-OCT,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_odd1,,Cirrus-Disc Cube-200x200-OCT,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_odm2,,Cirrus-Macula 6x6-OCTA,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_odd2,,Cirrus-Disc 6x6-OCTA,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_odw,,M2-3D Wide(H) 12x9-OCT,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_odm,,M2-3D Macula 6x6-OCT,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_odm1,,M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_odr,,Triton-3D(H)+Radial 12x9-OCT,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_odm1,,Triton-Macula 6x6-OCTA,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_odm2,,Triton-Macula 12x12-OCTA,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtfl_od,,FLIO-Mac-HS,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtop_osd,,OptoMed-Disc centered-CFP,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtop_osm,,OptoMed-Mac centered-CFP,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtei_osir,,Eidon-UWF Central-IR,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtei_osfaf,,Eidon-UWF Central-FAF,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_osc,,Eidon-UWF Central-CFP,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_osn,,Eidon-UWF Nasal-CFP,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_ost,,Eidon-UWF temporal-CFP,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtsm_osm,,Eidon- Create Mosaic Image-CFP,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_oso,,Spec-ONH-RC-HR-OCT,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_osp,,Spec-PPole Mac-HR-61 lines-OCT,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtso_osm,,Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_osm1,,Cirrus-Mac Cube-512x128-OCT,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_osd1,,Cirrus-Disc Cube-200x200-OCT,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_osm2,,Cirrus-Macula 6x6-OCTA,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtci_osd2,,Cirrus-Disc 6x6-OCTA,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_osw,,M2-3D Wide(H) 12x9-OCT,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_osm,,M2-3D Macula 6x6-OCT,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtma_osm1,,M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_osr,,Triton-3D(H)+Radial 12x9-OCT,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_osm1,,Triton-Macula 6x6-OCTA,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rttr_osm2,,Triton-Macula 12x12-OCTA,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,,,Question,rtfl_os,,FLIO-Mac-HS,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,monofilament,radio,,1601,Question,mssrf1,,Site 1,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 1,,2005200605,right foot - site 1
Yes,open-source,monofilament,radio,,1602,Question,mssrf2,,Site 2,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 2,,2005200606,right foot - site 2
Yes,open-source,monofilament,radio,,1603,Question,mssrf3,,Site 3,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 3,,2005200607,right foot - site 3
Yes,open-source,monofilament,radio,,1604,Question,mssrf4,,Site 4,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 4,,2005200608,right foot - site 4
Yes,open-source,monofilament,radio,,1605,Question,mssrf5,,Site 5,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 5,,2005200609,right foot - site 5
Yes,open-source,monofilament,radio,,1606,Question,mssrf6,,Site 6,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 6,,2005200610,right foot - site 6
Yes,open-source,monofilament,radio,,1607,Question,mssrf7,,Site 7,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 7,,2005200611,right foot - site 7
Yes,open-source,monofilament,radio,,1608,Question,mssrf8,,Site 8,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 8,,2005200612,right foot - site 8
Yes,open-source,monofilament,radio,,1609,Question,mssrf9,,Site 9,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 9,,2005200613,right foot - site 9
Yes,open-source,monofilament,radio,,1610,Question,mssrf10,,Site 10,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,right | site 10,,2005200614,right foot - site 10
Yes,open-source,monofilament,radio,,1613,Question,msslf1,,Site 1,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 1,,2005200615,left foot - site 1
Yes,open-source,monofilament,radio,,1614,Question,msslf2,,Site 2,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 2,,2005200616,left foot - site 2
Yes,open-source,monofilament,radio,,1615,Question,msslf3,,Site 3,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 3,,2005200617,left foot - site 3
Yes,open-source,monofilament,radio,,1616,Question,msslf4,,Site 4,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 4,,2005200618,left foot - site 4
Yes,open-source,monofilament,radio,,1617,Question,msslf5,,Site 5,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 5,,2005200619,left foot - site 5
Yes,open-source,monofilament,radio,,1618,Question,msslf6,,Site 6,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 6,,2005200620,left foot - site 6
Yes,open-source,monofilament,radio,,1619,Question,msslf7,,Site 7,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 7,,2005200621,left foot - site 7
Yes,open-source,monofilament,radio,,1620,Question,msslf8,,Site 8,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 8,,2005200622,left foot - site 8
Yes,open-source,monofilament,radio,,1621,Question,msslf9,,Site 9,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 9,,2005200623,left foot - site 9
Yes,open-source,monofilament,radio,,1622,Question,msslf10,,Site 10,4047085,,Monofilament foot sensation test,Procedure,SNOMED,Procedure,134388005,S,skos:exactMatch,1,left | site 10,,2005200624,left foot - site 10
Yes,open-source,physical_assessment,yesno,paate_6hr,,Answer,1,paate_6hr_1,Yes,44792839,,Non fasting,Observation,SNOMED,Clinical Finding,368441000000106,S,skos:exactMatch,1, 6 hours | 4048382,,4048382,6 hours
Yes,open-source,physical_assessment,yesno,paate_6hr,,Answer,0,paate_6hr_0,No,4060364,,Fasting,Observation,SNOMED,Clinical Finding,16985007,S,skos:exactMatch,1, 6 hours | 4048382,,4048382,6 hours
Yes,open-source,device_return,checkbox,send_satisfaction_survey,,Answer,1,send_satisfaction_survey_1,Checking the box and saving the form schedules a survey invitation to be sent to the participant in 1 hour,,,,,,,,,,,,,,
Yes,open-source,physical_assessment,yesno,,,Question,paate_6hr,,"Have you had anything to eat or drink in the last six hours, including coffee or tea with milk or sugar or any other drink other than water?",2005200629,2005200629,"Have you had anything to eat or drink in the last six hours, including coffee or tea with milk or sugar or any other drink other than water?",Observation,AIREADI,Survey,,S,skos:exactMatch,1,,,,
Yes,open-source,physical_assessment,yesno,paate_6hr,,Answer,1,paate_6hr_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
Yes,open-source,physical_assessment,yesno,paate_6hr,,Answer,0,paate_6hr_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhcat_adot,1921,Answer,1,mhcat_adot_1,Yes,378419,,Alzheimer's disease,Condition,SNOMED,Disorder,26929004,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_mi,,Answer,1,mhoccur_mi_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_mi,1895,Answer,0,mhoccur_mi_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_mi,1896,Answer,777,mhoccur_mi_777,Prefer not to say,36311156,,Prefer not to say,Meas Value,LOINC,Answer,LA28803-7,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_cvdot,,Answer,1,mhoccur_cvdot_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_cvdot,1898,Answer,0,mhoccur_cvdot_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_cvdot,1899,Answer,777,mhoccur_cvdot_777,Prefer not to say,36311156,,Prefer not to say,Meas Value,LOINC,Answer,LA28803-7,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_strk,,Answer,1,mhoccur_strk_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_strk,1901,Answer,0,mhoccur_strk_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_strk,1902,Answer,777,mhoccur_strk_777,Prefer not to say,36311156,,Prefer not to say,Meas Value,LOINC,Answer,LA28803-7,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_circ,,Answer,1,mhoccur_circ_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_circ,1904,Answer,0,mhoccur_circ_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_circ,1905,Answer,777,mhoccur_circ_777,Prefer not to say,36311156,,Prefer not to say,Meas Value,LOINC,Answer,LA28803-7,S,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,mhoccur_clsh,,Answer,1,mhoccur_clsh_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,,,,
