FORM_NAME,FIELD_ID,SRC_CODE,SRC_CODE_ID,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES
bcva,,viaodmlog,,2005200056,2005200056,LLVA Letter Score - Mesopic VA - OD,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,LLVA Letter Score - Mesopic VA,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79876-9"
bcva,,viaosmlog,,2005200057,2005200057,LLVA Letter Score - Mesopic VA - OS,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,LLVA Letter Score - Mesopic VA,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79877-7"
bcva,,viaodmscore,,2005200336,2005200336,Mesopic LogMAR OD Score,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,Mesopic,"1=Photopic, 2=Mesopic | 6616-7"
bcva,,viaosmscore,,2005200337,2005200337,Mesopic LogMAR OS Score,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,Mesopic,"1=Photopic, 2=Mesopic | 6617-5"
photopic_mars,,plcscmpdat,,2005200442,2005200442,Performed date of photopic mars,Observation,AIREADI,Procedure,S,,skos:exactMatch,1,1035260,Performed on value_as_concept_id = 1035260 | LA30233-3
photopic_mars,,plcsodfcl,,2005200338,2005200338,"OD: Value of final correct letter - Photopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008"
photopic_mars,,plcsodmiss,,2005200339,2005200339,"OD: Number of misses prior to stopping - Photopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008"
photopic_mars,,plcsodlog,,2005200155,2005200155,"OD: Log Contrast Sensitivity - Photopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Photopic, left eye; 2=Photopic, right eye, 3=Photopic, binocular | 251686008"
photopic_mars,,plcsosfcl,,2005200340,2005200340,"OS: Value of final correct letter - Photopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008"
photopic_mars,,plcsosmiss,,2005200341,2005200341,"OS: Number of misses prior to stopping - Photopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008"
photopic_mars,,plcsoslog,,2005200156,2005200156,"OS: Log Contrast Sensitivity - Photopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Photopic, left eye; 2=Photopic, right eye, 3=Photopic, binocular | 251686008"
mesopic_mars,,mlcscmpdat,,2005200443,2005200443,Performed date of Mesopic Mars,Observation,AIREADI,Procedure,S,,skos:exactMatch,1,,Performed on value_as_concept_id = 1035260 | LA30233-3
mesopic_mars,,mlcsodfcl,,2005200486,2005200486,"OD: Value of final correct letter - Mesopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008"
mesopic_mars,,mlcsodmiss,,2005200487,2005200487,"OD: Number of misses prior to stopping - Mesopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008"
mesopic_mars,,mlcsodlog,,2005200552,2005200552,"OD: Log Contrast Sensitivity - Mesopic, right eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,right,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 251686008"
mesopic_mars,,mlcsosfcl,,2005200488,2005200488,"OS: Value of final correct letter - Mesopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008"
mesopic_mars,,mlcsosmiss,,2005200489,2005200489,"OS: Number of misses prior to stopping - Mesopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008"
mesopic_mars,,mlcsoslog,,2005200553,2005200553,"OS: Log Contrast Sensitivity - Mesopic, left eye",Measurement,AIREADI,Measurement,S,,skos:exactMatch,1,left,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 251686008"
bcva,viaomthd,1,viaomthd_1,2005200058,2005200058,EVA,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,,79908-0
retinal_imaging_v2,rt_dat,rt_dat,,2005200446,2005200446,Performed date of retinal imaging assessment,Observation,AIREADI,Procedure,S,,skos:exactMatch,1,1035260,Performed on value_as_concept_id = 1035260 | LA30233-3
retinal_imaging_v2,,rtop_odd,,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtop_odm,,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtei_odir,,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtei_odfaf,,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtsm_odc,,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtsm_odn,,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtsm_odt,,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtsm_odm,,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtso_odo,,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtso_odp,,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtso_odm,,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtci_odm1,,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtci_odd1,,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtci_odm2,,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtci_odd2,,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtma_odw,,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtma_odm,,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtma_odm1,,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rttr_odr,,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rttr_odm1,,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rttr_odm2,,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtfl_od,,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,right eye|45881626,LA20770-6
retinal_imaging_v2,,rtop_osd,,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtop_osm,,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtei_osir,,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtei_osfaf,,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtsm_osc,,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtsm_osn,,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtsm_ost,,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtsm_osm,,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtso_oso,,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtso_osp,,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtso_osm,,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtci_osm1,,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtci_osd1,,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtci_osm2,,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtci_osd2,,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtma_osw,,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtma_osm,,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtma_osm1,,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rttr_osr,,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rttr_osm1,,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rttr_osm2,,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
retinal_imaging_v2,,rtfl_os,,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI,Observable Entity,S,,skos:exactMatch,1,left eye|45883143,LA20770-6
