concept_name,concept_id_1,SRC CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes
EVA,2005200058,viaomthd_1,AIREADI-Vision,,21495306,Type of Visual acuity exam method,Measurement,LOINC,Clinical Observation,79908-0,S,,,,0.25,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Log Contrast Sensitivity - Photopic, right eye",2005200155,plcsodlog,AIREADI-Vision,,4090077,Contrast sensitivity,Measurement,SNOMED,Observable Entity,251686008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Log Contrast Sensitivity - Photopic, left eye",2005200156,plcsoslog,AIREADI-Vision,,4090077,Contrast sensitivity,Measurement,SNOMED,Observable Entity,251686008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
M2-3D Wide(H) 12x9-OCT,2005200200,rtma_odw,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
M2-3D Macula 6x6-OCT,2005200201,rtma_odm,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,rtma_odm1,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Triton-3D(H)+Radial 12x9-OCT,2005200203,rttr_odr,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Triton-Macula 6x6-OCTA,2005200204,rttr_odm1,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Triton-Macula 12x12-OCTA,2005200205,rttr_odm2,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
OptoMed-Disc centered-CFP,2005200289,rtop_odd,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
OptoMed-Mac centered-CFP,2005200290,rtop_odm,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon-UWF Central-IR,2005200291,rtei_odir,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon-UWF Central-FAF,2005200292,rtei_odfaf,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon-UWF Central-CFP,2005200293,rtsm_odc,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon-UWF Nasal-CFP,2005200294,rtsm_odn,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon-UWF Temporal-CFP,2005200295,rtsm_odt,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Eidon- Create Mosaic Image-CFP,2005200296,rtsm_odm,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Spec-ONH-RC-HR-OCT,2005200297,rtso_odo,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Spec-PPole Mac-HR-61 lines-OCT,2005200298,rtso_odp,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,rtso_odm,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Cirrus-Mac Cube-512x128-OCT,2005200300,rtci_odm1,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Cirrus-Disc Cube-200x200-OCT,2005200301,rtci_odd1,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Cirrus-Macula 6x6-OCTA,2005200302,rtci_odm2,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Cirrus-Disc 6x6-OCTA,2005200303,rtci_odd2,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Mesopic LogMAR OD Score,2005200336,viaodmscore,AIREADI-Vision,,3036966,Visual acuity log MAR Eye - right,Measurement,LOINC,Clinical Observation,6616-7,S,,,,0.5,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Mesopic LogMAR OS Score,2005200337,viaosmscore,AIREADI-Vision,,3037488,Visual acuity log MAR Eye - left,Measurement,LOINC,Clinical Observation,6617-5,S,,,,0.5,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Value of final correct letter - Photopic, right eye",2005200338,plcsodfcl,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.25,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Number of misses prior to stopping - Photopic, right eye",2005200339,plcsodmiss,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.25,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Value of final correct letter - Photopic, left eye",2005200340,plcsosfcl,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.25,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Number of misses prior to stopping - Photopic, left eye",2005200341,plcsosmiss,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.25,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Value of final correct letter - Mesopic, right eye",2005200486,mlcsodfcl,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Number of misses prior to stopping - Mesopic, right eye",2005200487,mlcsodmiss,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Value of final correct letter - Mesopic, left eye",2005200488,mlcsosfcl,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Number of misses prior to stopping - Mesopic, left eye",2005200489,mlcsosmiss,AIREADI-Vision,,4256483,Contrast sensitivity test,Procedure,SNOMED,Procedure,410566008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OD: Log Contrast Sensitivity - Mesopic, right eye",2005200552,mlcsodlog,AIREADI-Vision,,4090077,Contrast sensitivity,Measurement,SNOMED,Observable Entity,251686008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
"OS: Log Contrast Sensitivity - Mesopic, left eye",2005200553,mlcsoslog,AIREADI-Vision,,4090077,Contrast sensitivity,Measurement,SNOMED,Observable Entity,251686008,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Ophthalmic Survey,2005200574,,AIREADI-Vision,,44804317,Survey,Observation,SNOMED,Qualifier Value,725111000000103,S,,,,0.5,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Fundus - Edion,2005200595,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Fundus - Optomed,2005200596,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
OCT & OCTA - Spectralis HRA OCT,2005200597,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
OCT - Triton OCT,2005200598,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
OCT & OCTA - Maestro2,2005200599,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
FLIO,2005200600,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
Angioplex - Cirrus 5000,2005200601,,AIREADI-Vision,,45885156,"Device or Medical/Surgical Supply, including Health Information Technology (HIT)",Meas Value,LOINC,Answer,LA20770-6,S,,,,0.5,skos:relatedMatch,ManualMapping,ManualMappingCuration,,
