FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES
preconsent_survey,text,,1065,preconcmpdat,,Pre-consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Pre-consent survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3
preconsent_survey,text,,1069,preconstartts,, Pre-consent Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Pre-consent Survey Started Timestamp (from REDCap),99423-6
preconsent_survey,text,,1070,preconcmpts,, Pre-consent Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Pre-consent Survey Completed Timestamp (from REDCap),99423-6
consent_survey,text,,1071,icf_dat,,Consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Consent survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3
consent_survey,text,,1075,c184390_dat,,Date paper consent completed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date paper consent completed,Performed on value_as_concept_id = 1035260 | LA30233-3
consent_survey,text,,1081,icfsvyts,,Consent Survey Start Timestamp,4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Start Timestamp,99423-6
consent_survey,text,,1082,icfcmpts,,Consent Survey Completed Timestamp,4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Completed Timestamp,99423-6
staff_consent_attestation_survey,text,,1085,icfa_dat,,Date of Consent Attestation,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date of Consent Attestation,Performed on value_as_concept_id = 1035260 | LA30233-3
participant_contact_information_survey,text,,1090,prtcmpdat,,Participant contact survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Participant contact survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3
demographics_survey,text,,1106,dmgcmpdat,,Demographic survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Demographic survey date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3
demographics_survey,text,,1117,dmgstartts,,Demographics Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demographics Survey Started Timestamp (from REDCap),99423-6
demographics_survey,text,,1118,dmgcmpts,,Demograhics Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demograhics Survey Completed Timestamp (from REDCap),99423-6
health_survey,text,,1119,mhcmpdat,,Health survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Health survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
health_survey,radio,,1125,mhoccur_circ,,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",67434-1
health_survey,radio,,1128,mhoccur_lbp,,Low blood pressure,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,317002,Creating local code
health_survey,radio,,1129,mhoccur_pd,,Parkinson's disease,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,381270,LA27533-1
health_survey,radio,,1130,mhoccur_ad,,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4182210,Removed local code 2005200015
health_survey,radio,,1131,mhcat_adot,,"If yes, please choose between:",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,378419,
health_survey,text,,1132,mhcat_dmtaot,,Other (please specify):,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,other types of Dementia or Alzheimer's Disease,LA6310-2
health_survey,radio,,1133,mhoccur_cogn,,"Mild cognitive impairment (known as ""MCI""; mild but noticeable cognitive changes, may slow or interfere with daily activities but does not stop them)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,439795,
health_survey,radio,,1134,mhoccur_ms,,Multiple sclerosis,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,374919,use 374919 for yes
health_survey,radio,,1135,mhoccur_cns,,Other neurological conditions,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,46271045,use 46271045 for yes
health_survey,radio,,1137,mhoccur_ra,,Arthritis (joint pain),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4291025,use 4291025 for yes
health_survey,radio,,1138,mhoccur_oa,,Osteoporosis,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,80502,LA10527-2
health_survey,radio,,1139,mhoccur_ca,,Cancer (any type),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45877275,
health_survey,radio,,1141,mhoccur_plm,,"Chronic pulmonary (lung) problems (Examples: emphysema, asthma, tuberculosis, asbestosis)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4186898,
health_survey,radio,,1142,mhoccur_gi,,"Digestive problems (Examples: stomach ulcer, gastrointestinal problems, hiatal hernia)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,digestive disease,
health_survey,radio,,1143,mhoccur_ua,,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",LA17005-2
health_survey,radio,,1144,mhoccur_rnl,,Kidney problems,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Kidney problems,LA4591-9
health_survey,radio,,1145,mhoccur_ear,,Hearing impairment,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45882741,
health_survey,radio,,1146,mhoccur_obs,,Obesity,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,433736,
health_survey,text,,1161,mhstartts,,Health Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Health Survey Started Timestamp (from REDCap),99423-6
health_survey,text,,1162,mhcmpts,,Heath Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Heath Survey Completed Timestamp (from REDCap),99423-6
substance_use_survey,text,,1163,sucmpdat,,Substance use survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Substance use survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
substance_use_survey,text,,1192,sustartts,, Substance Use Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Substance Use Survey Started Timestamp (from REDCap),99423-6
substance_use_survey,text,,1193,sucmpts,, Substance Use Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Substance Use Survey Completed Timestamp (from REDCap),99423-6
cesd10_survey,text,,1194,cesmpdat,,CES-D-10 survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,CES-D-10 survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
cesd10_survey,text,,1208,cesstartts,, CES-D-10 Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, CES-D-10 Survey Started Timestamp (from REDCap),99423-6
cesd10_survey,text,,1209,cescmpts,, CES-D-10 Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, CES-D-10 Survey Completed Timestamp (from REDCap),99423-6
paid5_dm_survey,text,,1210,paidcmpdat,,PAID-5 DM survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PAID-5 DM survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
paid5_dm_survey,text,,1219,paidstartts,, PAID-5 DM Survey Start Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PAID-5 DM Survey Start Timestamp (from REDCap),99423-6
paid5_dm_survey,text,,1220,paidcmpts,, PAID-5 DM Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PAID-5 DM Survey Completed Timestamp (from REDCap),99423-6
diabetes_survey,text,,1221,dmlcmpdat,,Diabetes survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Diabetes survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
diabetes_survey,text,,1234,dmlstartts,,Diabetes Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Diabetes Survey Started Timestamp (from REDCap),99423-6
diabetes_survey,text,,1235,dmlcmpts,,Diabetes Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Diabetes Survey Completed Timestamp (from REDCap),99423-6
dietary_survey,text,,1236,dietcmpdat,,Dietary survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Dietary survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
dietary_survey,text,,1249,dietstartts,,Dietary Survey Start Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Dietary Survey Start Timestamp (from REDCap),99423-6
dietary_survey,text,,1250,dietcmpts,,Dietary Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Dietary Survey Completed Timestamp (from REDCap),99423-6
ophthalmic_survey,text,,1251,viacmpdat,,Ophthalmic survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Ophthalmic survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
ophthalmic_survey,text,,1260,viastartts,,Ophthalmic Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Ophthalmic Survey Started Timestamp (from REDCap),99423-6
ophthalmic_survey,text,,1261,viacmpts,,Ophthalmic Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Ophthalmic Survey Completed Timestamp (from REDCap),99423-6
px_sdoh_combined_survey,text,,1262,pxsdohcmpdat,,PhenX SDOH survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX SDOH survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
px_sdoh_combined_survey,text,,1303,pxsdohstartts,, PhenX SDOH Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PhenX SDOH Survey Started Timestamp (from REDCap),99423-6
px_sdoh_combined_survey,text,,1304,pxsdohcmpts,, PhenX SDOH Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PhenX SDOH Survey Completed Timestamp (from REDCap),99423-6
px_sdoh_combined_survey,text,,1305,px270201_metadata,, PhenX English Proficiency MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX English Proficiency MetaData,
px_sdoh_combined_survey,text,,1306,px011002_metadata,, PhenX Education Attainment MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Education Attainment MetaData,
px_sdoh_combined_survey,text,,1307,px280301_metadata,, PhenX Job Security MetaData ,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Job Security MetaData ,
px_sdoh_combined_survey,text,,1308,px281401_metadata,, PhenX Housing Insecurity MetaData ,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Housing Insecurity MetaData ,
px_sdoh_combined_survey,text,,1309,px280801_metadata,, PhenX Prescriptions Affordability MetaData ,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Prescriptions Affordability MetaData ,
px_sdoh_combined_survey,text,,1310,px11502_metadata,, PhenX Health Insurance MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Health Insurance MetaData,
px_sdoh_combined_survey,text,,1311,px270101_metadata,, PhenX Health Care Access MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Health Care Access MetaData,
px_sdoh_combined_survey,text,,1312,px280901_metadata,, PhenX Healthcare Discrimination MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Healthcare Discrimination MetaData,
px_food_insecurity_survey,text,,1313,pxsficmpdat,,PhenX Food Insecurity survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Food Insecurity survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
px_food_insecurity_survey,text,,1322,pxfistartts,,PhenX Food Insecurity Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Food Insecurity Survey Started Timestamp (from REDCap),99423-6
px_food_insecurity_survey,text,,1323,pxsficmpts,,PhenX Food Insecurity Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Food Insecurity Survey Completed Timestamp (from REDCap),99423-6
px_food_insecurity_survey,text,,1324,px270301_metadata,,PhenX MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Food Insecurity MetaData,
px_neighborhood_environment_survey,text,,1325,pxnecmpdat,,PhenX Neighborhood Enviroment survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Neighborhood Enviroment survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
px_neighborhood_environment_survey,text,,1345,pxnestartts,, PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),99423-6
px_neighborhood_environment_survey,text,,1346,pxnecmpts,, PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),99423-6
px_neighborhood_environment_survey,text,,1347,px291201_metadata,, PhenX Neighborhood Environment MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Neighborhood Environment MetaData,
px_racial_ethnic_discrimination_survey,text,,1348,pxrdcmpdat,,PhenX Racial/Ethnic Discrimination survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Racial/Ethnic Discrimination survey date,Performed on value_as_concept_id = 1035260 | LA30233-3
px_racial_ethnic_discrimination_survey,text,,1405,pxrdcmpts,,PhenX Racial/Ethnic Discrimination Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Racial/Ethnic Discrimination Survey Completed Timestamp (from REDCap),99423-6
px_racial_ethnic_discrimination_survey,text,,1406,pxrdstartts,,PhenX Racial/Ethnic Discrimination Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Racial/Ethnic Discrimination Survey Started Timestamp (from REDCap),99423-6
px_racial_ethnic_discrimination_survey,text,,1407,px281501_metadata,,PhenX Racial/Ethnic MetaData,2005200102,2005200102, PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1, PhenX Racial/Ethnic MetaData,
study_enrollment,text,,1416,visdat,,Planned date & time of in-person visit,2005200134,2005200134,Planned date & time of in-person visit,Observation,AIREADI,Observation,S,,skos:exactMatch,1,Planned date & time of in-person visit,185353001
driving_record,text,,1425,dricmpdat,,Date driving record assessment conducted,2005200135,2005200135,Date driving record assessment conducted,Observation,AIREADI,Observation,S,,skos:exactMatch,1,Date driving record assessment conducted,90118-1
device_distribution,text,,1435,dvamwstdat,,Date device given to participant,2005200474,2005200474,Date when physical activity monitor was given to patient,Observation,AIREADI,Observation,S,,skos:exactMatch,1,Date device given to participant,LA30233-3
device_distribution,text,,1441,dvcgmstdat,,Date sensor inserted,2005200475,2005200475,Date sensor inserted,Observation,AIREADI,Observation,S,,skos:exactMatch,1,Date sensor inserted,LA30233-3
device_distribution,text,,1448,dvenvstdat,,Date device given to participant,2005200476,2005200476,Date when continuous glucose monitor was given to participant,Observation,AIREADI,Observation,S,,skos:exactMatch,1,Date device given to participant,LA30233-3
meds_assessment,text,,1456,cmcmpdat,,Date medications assessment conducted,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date medications assessment conducted,Performed on value_as_concept_id = 1035260 | LA30233-3
current_medications,text,,1468,cmcmpdat2,,Date current medication collected,2005200478,2005200478,Date when current medication was collected,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Date current medication collected,LA30233-3
physical_assessment,text,,1477,pacmpdat,,Date Assessment Performed --- Populated if an in person visit was completed (regardless of the physical assessment was performed),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date Assessment Performed --- Populated if an in person visit was completed (regardless of the physical assessment was performed),Performed on value_as_concept_id = 1035260 | LA30233-3
bcva,text,,1494,viaocmpdat,,Date BCVA performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date BCVA performed,Performed on value_as_concept_id = 1035260 | LA30233-3
photopic_mars,text,,1517,plcscmpdat,,Date procedure performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date procedure performed,Performed on value_as_concept_id = 1035260 | LA30233-3
mesopic_mars,text,,1557,mlcscmpdat,,Date procedure performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date procedure performed,Performed on value_as_concept_id = 1035260 | LA30233-3
monofilament,text,,1597,msscmpdat,,Date monofilament performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date monofilament performed,Performed on value_as_concept_id = 1035260 | LA30233-3
moca,text,,1625,mocacmpdattim,,Date time MoCA performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date time MoCA performed,Performed on value_as_concept_id = 1035260 | LA30233-3
procedures,text,,1629,rtfncmpdattim,,Date & time Fundus - Edion performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time Fundus - Edion performed,90118-1
procedures,text,,1633,rtfnocmpdattim,,Date & time Fundus -  Optomed performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time Fundus -  Optomed performed,90118-1
procedures,text,,1637,rthracmpdattim,,Date & time OCT & OCTA - Spectralis HRA OCT performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time OCT & OCTA - Spectralis HRA OCT performed,90118-1
procedures,text,,1641,rtoctcmpdattim,,Date & time OCT - Triton OCT performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time OCT - Triton OCT performed,90118-1
procedures,text,,1645,rtm2cmpdattim,,Date & time OCT & OCTA - Maestro2 performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time OCT & OCTA - Maestro2 performed,90118-1
procedures,text,,1649,rtfliocmpdattim,,Date & time FLIO performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time FLIO performed,
procedures,text,,1653,rtaccmpdattim,,Date & time Angioplex - Cirrus 5000 performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time Angioplex - Cirrus 5000 performed,90118-1
procedures,text,,1657,rtekgcmpdattim,,Date & time Cardiology - EKG - Pagewriter TC30 Cardiograp performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time Cardiology - EKG - Pagewriter TC30 Cardiograp performed,90118-1
lab_results,text,,1661,lbdattim1,,Date & time clinical labs performed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date & time clinical labs performed,90118-1
device_return,text,,1708,dvamwendat,,Date device received back from participant,4260905,,Date,Observation,SNOMED,Qualifier Value,S,410672004,skos:exactMatch,1,Date device received back from participant,410671006
device_return,text,,1713,dvcgmendat,,Date device received back from participant,4260905,,Date,Observation,SNOMED,Qualifier Value,S,410672004,skos:exactMatch,1,Date device received back from participant,410671006
device_return,text,,1717,dvenvendat,,Date device received back from participant,4260905,,Date,Observation,SNOMED,Qualifier Value,S,410672004,skos:exactMatch,1,Date device received back from participant,410671006
disposition,text,,1730,eos_dsstdat,,What was the study discontinuation or completion date?,4260905,,Date,Observation,SNOMED,Qualifier Value,S,410672004,skos:exactMatch,1,What was the study discontinuation or completion date?,8.71441E+14
retinal_imaging_v2,text,rt_dat,,rt_dat,,Assessment Date,4260905,,Date,Observation,SNOMED,Qualifier Value,S,410672004,skos:exactMatch,1,Assessment Date,Performed on value_as_concept_id = 1035260 | LA30233-3
