Map_to_OMOP,Protected_or_open-source,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,qualifier_concept_id,qualifier_source_value,NOTES
Yes,open-source,screening_survey,yesno,,1043,mhterm_dm2,,Type II Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,201826,201826,Type 2 diabetes mellitus,LA10552-0 | 44054006
Yes,open-source,screening_survey,text,mhterm_dm2,1044,mh_dm_age,,"If yes, at what age were you first diagnosed?",4307859,,Age at diagnosis,Observation,SNOMED,Observable Entity,S,423493009,skos:closeMatch,0.75,,,,
Yes,open-source,screening_survey,yesno,,1045,mhterm_predm,,Pre-diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,37018196,37018196,Prediabetes,714628002
Yes,open-source,screening_survey,radio,,1046,cmtrt_a1c,,"Do you take pills to control your A1C and blood glucose levels? Examples: Metformin (Glucophage, Glumetza, Fortamet, Riomet), Glucotrol, Amaryl, DiaBeta, Blynase PresTab, Micronase, Actos, Avandia, Precose, Glyset, Prandin, Starlix, Januvia, Onglyza, Tradjenta, Nesina, Invokana, Farxiga, Jardiance, Welchol, and Cyclocet",2005200548,2005200548,"Do you take pills to control your A1C and blood glucose levels? Examples: Metformin (Glucophage, Glumetza, Fortamet, Riomet), Glucotrol, Amaryl, DiaBeta, Blynase PresTab, Micronase, Actos, Avandia, Precose, Glyset, Prandin, Starlix, Januvia, Onglyza, Tradjenta, Nesina, Invokana, Farxiga, Jardiance, Welchol, and Cyclocet",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,4016042 | 170746002
Yes,open-source,screening_survey,yesno,,1047,cmtrt_insln,,Do you inject insulin to control your blood glucose levels?,2005200549,2005200549,Do you inject insulin to control your blood glucose levels?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,440922 | 170747006
Yes,open-source,screening_survey,yesno,,1048,cmtrt_glcs,,"Do you use other injections to control your blood glucose levels?  Examples: Victoza, Ozempic, Symlin, Tanzeum, and Trulicity",2005200550,2005200550,"Do you use other injections to control your blood glucose levels?  Examples: Victoza, Ozempic, Symlin, Tanzeum, and Trulicity",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,36714369 | 719566006
Yes,open-source,screening_survey,yesno,,1049,cmtrt_lfst,,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",2005200004,2005200004,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,1148971005
Yes,protected,screening_survey,radio,,1050,scrsex,,"What sex were you assigned at birth? That is, what is on your original birth certificate?",46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:closeMatch,1,,,,
Yes,protected,screening_survey,text,,1051,scrsexot,,Other (please specify),46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,LA6310-2
Yes,protected,screening_survey,checkbox,,1052,ethnic,,"Are you of Hispanic, Latina/x or Spanish origin? Please check all that apply.",42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:exactMatch,1,,,,
Yes,protected,screening_survey,text,,1053,ethnicot,,Other (please specify),42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:exactMatch,1,,,,LA6310-2
Yes,protected,screening_survey,calc,,1054,ethnicscore,,Hispanic score (needed for demographics screening logic),42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:closeMatch,1,,,,
Yes,protected,screening_survey,checkbox,,1055,race,,How would you describe your race/ethnicity? (check all that apply),3050381,,Race or ethnicity,Observation,LOINC,Clinical Observation,S,46463-6,skos:closeMatch,1,,,,
Yes,protected,screening_survey,text,,1056,raceot,,Other (please describe),3050381,,Race or ethnicity,Observation,LOINC,Clinical Observation,S,46463-6,skos:closeMatch,1,,,,LA6310-2
Yes,protected,screening_survey,text,,1057,racetrib,,Tribal affiliation (please describe),36660477,,Tribal affiliation,Observation,LOINC,Clinical Observation,S,95370-3,skos:closeMatch,1,,,,
Yes,protected,screening_survey,radio,,1058,race2,,Which one of these groups would you say best represents your race?,3046853,,Race,Observation,LOINC,Clinical Observation,S,32624-9,skos:closeMatch,1,,,,
Yes,protected,screening_survey,text,,1059,ancestry,,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",2005200557,2005200557,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,cope_a_11
Yes,open-source,screening_survey,text,,1060,scrstartts,,Screening Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Screening Survey Started Timestamp (from REDCap),2005200563,Screening Survey,99423-6
Yes,open-source,screening_survey,text,,1061,scrcmpts,,Screening Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Screening Survey Completed Timestamp (from REDCap),2005200563,Screening Survey,99423-6
No,protected,screening_survey,text,,1062,racescore,,Race raw value (checkbox & radio),none - OPS,,,,,,,,,,,,,
No,protected,screening_survey,text,,1063,racerawvalue_1,,Race raw value (checkbox),none - OPS,,,,,,,,,,,,,
No,protected,screening_survey,text,,1064,racerawvalue_2,,Race raw value (radio),none - OPS,,,,,,,,,,,,,
Yes,open-source,preconsent_survey,text,,1065,preconcmpdat,,Pre-consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Pre-consent survey/form date (date survey/form opened),2005200564,Pre-consent Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),preconsent_survey,text,,1066,crcid_prcon,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,preconsent_survey,checkbox,,1067,precon_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
No,open-source,preconsent_survey,radio,,1068,icf_c16468,,"You have the option to continue to our informed consent document, which contains more details on the data to be collected, as well as your rights as a volunteer. You also have the option to request that a study team member call you to answer any questions you have, or choose not to participate and exit this website.",none - OPS,,,,,,,N/A - operational variable,,,,,,
Yes,open-source,preconsent_survey,text,,1069,preconstartts,,Pre-consent Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Pre-consent Survey Started Timestamp (from REDCap),2005200564,Pre-consent Survey,99423-6
Yes,open-source,preconsent_survey,text,,1070,preconcmpts,,Pre-consent Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Pre-consent Survey Completed Timestamp (from REDCap),2005200564,Pre-consent Survey,99423-6
Yes,open-source,consent_survey,text,,1071,icf_dat,,Consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Consent survey/form date (date survey/form opened),2005200565,Consent Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),consent_survey,text,,1072,crcid_icf,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,consent_survey,checkbox,,1073,icf_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,open-source,consent_survey,checkbox,,1074,c184390,,Paper consent obtained,3018196,,Informed consent obtained,Observation,LOINC,Clinical Observation,S,19826-7,skos:closeMatch,1,,,,
Yes,open-source,consent_survey,text,,1075,c184390_dat,,Date paper consent completed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date paper consent completed,2005200587,Paper Consent Completed,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),consent_survey,radio,,1076,icf_version,,Version,0,,Form version,Observation,LOINC,Survey,S,68356-5,skos:closeMatch,0.75,,,,40770946
No,locked (unavailable),consent_survey,radio,,1077,icf_consent,,I have read this entire form and I agree to be in this study.,0,,Informed consent obtained,Observation,LOINC,Clinical Observation,S,19826-7,skos:closeMatch,0.75,,,,3018196
No,locked (unavailable),consent_survey,text,,1078,icf_fname,,Your First Name,0,,First (Given) name Person,Observation,LOINC,Clinical Observation,S,97848-6,skos:closeMatch,1,,,,1617559
No,locked (unavailable),consent_survey,text,,1079,icf_lname,,Your Last Name,0,,Last (Family) name Person,Observation,LOINC,Clinical Observation,S,97847-8,skos:closeMatch,1,,,,1617135
No,locked (unavailable),consent_survey,file,,1080,icf_sign,,Your Signature,0,,Consent given for observational study participation,Observation,SNOMED,Clinical Finding,S,736814000,skos:relatedMatch,0.5,,,,42537431
Yes,open-source,consent_survey,text,,1081,icfsvyts,,Consent Survey Start Timestamp,2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Start Timestamp,2005200565,Consent Survey,99423-6
Yes,open-source,consent_survey,text,,1082,icfcmpts,,Consent Survey Completed Timestamp,2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Completed Timestamp,2005200565,Consent Survey,99423-6
No,locked (unavailable),staff_consent_attestation_survey,text,,1083,icfa_version,,Version,0,,Form version,Observation,LOINC,Survey,S,68356-5,skos:closeMatch,0.75,,,,40770946
No,locked (unavailable),staff_consent_attestation_survey,checkbox,,1084,icfa_attestation,,Consent Attestation,0,,Written consent completed,Observation,SNOMED,Clinical Finding,S,5821000175103,skos:closeMatch,0.75,,,,765499
Yes,open-source,staff_consent_attestation_survey,text,,1085,icfa_dat,,Date of Consent Attestation,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date of Consent Attestation,2005200588,Consent Attestation,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),staff_consent_attestation_survey,text,,1086,icfa_fname,,Study Staff First Name,0,,Personnel First (Given) name,Observation,LOINC,Clinical Observation,S,71739-7,skos:closeMatch,1,,,,42869495
No,locked (unavailable),staff_consent_attestation_survey,text,,1087,icfa_lname,,Study Staff Last Name,0,,Personnel Last (Family) name,Observation,LOINC,Clinical Observation,S,71740-5,skos:closeMatch,1,,,,42869496
No,locked (unavailable),staff_consent_attestation_survey,file,,1088,icfa_sign,,Study Staff Signature,0,,Consent given for observational study participation,Observation,SNOMED,Clinical Finding,S,736814000,skos:relatedMatch,0.5,,,,42537431
No,locked (unavailable),download_consent,file,,1089,icf_pdf,,You can download your completed consent form by clicking on the link below.,none - OPS,,,,,,,N/A - operational variable,,,,,,
Yes,open-source,participant_contact_information_survey,text,,1090,prtcmpdat,,Participant contact survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Participant contact survey/form date (date survey/form opened),2005200566,Participant Contact Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),participant_contact_information_survey,text,,1091,crcid_prt,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),participant_contact_information_survey,checkbox,,1092,parcon_nd,,No participant response,0,,No response,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,1,,,,45877597
No,locked (unavailable),participant_contact_information_survey,text,,1093,prt_street,,Street/PO Box,0,,Street,Meas Value,LOINC,Answer,S,LA28897-9,skos:broadMatch,0.75,,,,36309067
No,locked (unavailable),participant_contact_information_survey,text,,1094,prt_city,,City,0,,City,Observation,LOINC,Survey,S,68997-6,skos:exactMatch,1,,,,40771522
No,locked (unavailable),participant_contact_information_survey,dropdown,,1095,prt_state,,State,0,,State of residence,Observation,LOINC,Survey,S,46499-0,skos:exactMatch,1,,,,3052558
No,locked (unavailable),participant_contact_information_survey,text,,1096,prt_zip,,Zip Code,0,,Postal code [Location],Observation,LOINC,Clinical Observation,S,45401-7,skos:closeMatch,1,,,,3043579
No,locked (unavailable),participant_contact_information_survey,text,,1097,prt_email,,Email Address,0,,Contact email address,Observation,LOINC,Clinical Observation,S,89058-2,skos:closeMatch,1,,,,36303592
No,locked (unavailable),participant_contact_information_survey,text,,1098,prt_phone,,Phone (best number to contact you),0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,1,,,,36303303
No,locked (unavailable),participant_contact_information_survey,yesno,,1099,prt_cell_phone,,Is this a cell phone?,0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Cell,,,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell"
No,locked (unavailable),participant_contact_information_survey,text,,1100,prt_phone_2,,Alternate phone number,0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Alternate,,,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell"
No,locked (unavailable),participant_contact_information_survey,yesno,,1101,prt_cell_phone_2,,Is the alternate phone number a cell phone?,0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Alternate Cell,,,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell"
No,locked (unavailable),participant_contact_information_survey,radio,,1102,prefmthd,,Preferred mode of contact?,0,,Preferred mode of communication,Observation,SNOMED,Observable Entity,S,428330008,skos:closeMatch,1,,,,4177227
No,locked (unavailable),participant_contact_information_survey,checkbox,,1103,add_enrolled,,Add participant record to Enrolled Project,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),participant_contact_information_survey,text,,1104,prtstartts,,Participant Contact Survey Started Timestamp (from REDCap),0,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:relatedMatch,0.5,,,,1988422
No,locked (unavailable),participant_contact_information_survey,text,,1105,prtcmpts,,Participant Contact Survey Completed Timestamp (from REDCap),0,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:relatedMatch,0.5,,,,1988422
Yes,open-source,demographics_survey,text,,1106,dmgcmpdat,,Demographic survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Demographic survey date (date survey/form opened),2005200567,Demographic Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),demographics_survey,text,,1107,crcid_dmg,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,demographics_survey,checkbox,,1108,dmg_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
No,locked (unavailable),demographics_survey,dropdown,,1109,brthmm,,Month (e.g. Jan or Feb),0,,Month,Meas Value,LOINC,Answer,S,LA14217-6,skos:closeMatch,1,,,,45881910
No,locked (unavailable),demographics_survey,dropdown,,1110,brthdd,,Day (01 - 31),0,,Day,Meas Value,LOINC,Answer,S,LA15804-0,skos:closeMatch,1,,,,45881908
Yes,open-source,demographics_survey,text,,1111,brthyy,,Year (e.g. 1967),4078999,,Calendar year,Observation,SNOMED,Qualifier Value,S,277267003,skos:closeMatch,1,,,,
Yes,open-source,demographics_survey,text,,1112,cage,,Age (in years),4265453,,Age,Observation,SNOMED,Qualifier Value,S,397669002,skos:exactMatch,1,,,,
Yes,open-source,demographics_survey,radio,,1113,cl_maristat,,Marital Status,4053609,,Marital status,Observation,SNOMED,Observable Entity,S,125680007,skos:exactMatch,1,,,,
Yes,protected,demographics_survey,text,,1114,cl_maristatot,,Other (please specify),4053609,,Marital status,Observation,SNOMED,Observable Entity,S,125680007,skos:exactMatch,1,,,,LA6310-2
Yes,protected,demographics_survey,radio,,1115,genderid,,What gender do you identify as?,46235215,,Gender identity,Observation,LOINC,Clinical Observation,S,76691-5,skos:exactMatch,1,,,,
Yes,protected,demographics_survey,text,,1116,genderidot,,Other (please specify),46235215,,Gender identity,Observation,LOINC,Clinical Observation,S,76691-5,skos:exactMatch,1,,,,LA6310-2
Yes,open-source,demographics_survey,text,,1117,dmgstartts,,Demographics Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demographics Survey Started Timestamp (from REDCap),2005200567,Demographic Survey,99423-6
Yes,open-source,demographics_survey,text,,1118,dmgcmpts,,Demograhics Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demograhics Survey Completed Timestamp (from REDCap),2005200567,Demographic Survey,99423-6
Yes,open-source,health_survey,text,,1119,mhcmpdat,,Health survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Health survey date,2005200568,Health Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),health_survey,text,,1120,crcid_mh,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,health_survey,checkbox,,1121,mh_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,open-source,health_survey,radio,,1122,mhoccur_mi,,Heart attack,40761439,,Ever told by doctor that you had a myocardial infarction or heart attack,Observation,LOINC,Survey,S,58338-5,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,,1123,mhoccur_cvdot,,"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",40766916,,Has doctor ever told you that you had heart trouble [PhenX],Observation,LOINC,Survey,S,64204-1,skos:exactMatch,1,,,,
Yes,open-source,health_survey,radio,,1124,mhoccur_strk,,Stroke,40768407,,Have you ever been told by a physician that you had a stroke [PhenX],Observation,LOINC,Survey,S,65718-9,skos:exactMatch,1,,,,
