Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub (REDCap dataset),Protected or open-source?,Extension Needed,original sort order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,NOTES_Outdated,,"Choices, Calculations, OR Slider Labels",Field Note,PhenX Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID
Changed,4/30/2024,Yes,Yes,open-source,No,26,recruitment_survey,text,,1025,reccmpdat,,Recruitment survey date (date survey/form opened),3039611,,Survey reporting period start date,Observation,LOINC,Survey,S,52832-3,skos:closeMatch,0.75,,Performed on value_as_concept_id = 1035260,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,4/2/2024,No,No,locked (unavailable),No,27,recruitment_survey,text,,1026,rec_crcid,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,28,recruitment_survey,checkbox,,1027,recruit_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,LA10996-9,10/2,,"999, Recruitment survey not done",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,29,recruitment_survey,radio,,1028,scrn_intst1,,Are you interested to learn if you're eligible for our research study?,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Yes, I'm interested | 2, I have questions | 0, No I'm not interested at this time",,,,,,,,,,,,,,,
Changed,4/25/2024,Yes,Yes,open-source,Yes,30,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),2005200000,2005200000,Recruitment Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Started Timestamp (from REDCap),:skos:exactMatch:1:,,sec,seconds,8555
Changed,4/25/2024,Yes,Yes,open-source,Yes,31,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),2005200001,2005200001,Recruitment Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Completed Timestamp (from REDCap),:skos:exactMatch:1:,,sec,seconds,8555
Original,4/30/2024,Yes,Yes,open-source,Yes,32,faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),2005200477,2005200477,Performed date of FAQ survey,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,4/2/2024,No,No,locked (unavailable),No,33,faq_survey,text,,1032,crcid_faq,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,34,faq_survey,checkbox,,1033,faq_nd,,No participant response,915709,,Patient survey results not available,Observation,LOINC,Survey,S,G9604,skos:closeMatch,0.75,,LA10996-9,10/2,,"999, FAQ survey not done",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,35,faq_survey,radio,,1034,scrn_intst2,,Are you interested in learning if you're eligible for our research study?,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Yes, I'm interested | 2, I still have questions and I would like to have a staff member call me | 0, No I'm not interested at this time",,,,,,,,,,,,,,,
Changed,4/25/2024,Yes,Yes,open-source,Yes,36,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),2005200002,2005200002,FAQ Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,10/2,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Started Timestamp (from REDCap),:skos:exactMatch:1:,,sec,seconds,8555
Changed,4/25/2024,Yes,Yes,open-source,Yes,37,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),2005200003,2005200003,FAQ Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,10/2,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Completed Timestamp (from REDCap),:skos:exactMatch:1:,,sec,seconds,8555
Changed,4/30/2024,Yes,Yes,open-source,Yes,38,screening_survey,text,,1037,scrcmpdat,,Screening survey date (date survey/form opened),2005200479,2005200479,Performed date of screening survey,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,4/2/2024,No,No,locked (unavailable),No,39,screening_survey,text,,1038,crcid_scrn,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,40,screening_survey,checkbox,,1039,screen_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,LA10996-9,10/2,,"999, Screening survey not done",,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,protected,No,41,screening_survey,yesno,,1040,rp_childpot,,Are you currently pregnant?,40768856,,Currently pregnant,Observation,LOINC,Clinical Observation,S,66174-4,skos:exactMatch,1,,LA14670-6,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,42,screening_survey,yesno,,1041,mhterm_dm1,,Type I Diabetes,201254,,Type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,46635009,skos:exactMatch,1,,LA10551-2,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,43,screening_survey,yesno,,1042,mh_a1c,,Elevated A1C levels (elevated blood sugars),4152671,,Hemoglobin A1C - diabetic control interpretation,Measurement,SNOMED,Observable Entity,S,269823000,skos:exactMatch,1,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation,Elevated A1C levels (elevated blood sugars),269823000:skos:exactMatch:1:,,,,
Added,6/23/2023,Yes,Yes,open-source,No,43,screening_survey,yes,mh_a1c,1042,mh_a1c_yes,,Elevated,1620380,,Elevated,Meas Value,LOINC,Answer,S,LA32146-5,skos:exactMatch,1,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation,Elevated,LA32146-5:skos:exactMatch:1:,,,,
Added,6/23/2023,Yes,Yes,open-source,No,43,screening_survey,no,mh_a1c,1042,mh_a1c_no,,Not elevated,1620550,,Not elevated,Meas Value,LOINC,Answer,S,LA32147-3,skos:exactMatch,1,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation,Not elevated,LA32147-3:skos:exactMatch:1:,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,44,screening_survey,yesno,,1043,mhterm_dm2,,Type II Diabetes,201826,,Type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,44054006,skos:exactMatch,1,,LA10552-0,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,45,screening_survey,text,,1044,mh_dm_age,,"If yes, at what age were you first diagnosed?",4307859,,Age at diagnosis,Observation,SNOMED,Observable Entity,S,423493009,skos:closeMatch,0.75,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,46,screening_survey,yesno,,1045,mhterm_predm,,Pre-diabetes,37018196,,Prediabetes,Condition,SNOMED,Clinical Finding,S,714628002,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,47,screening_survey,radio,,1046,cmtrt_a1c,,"Do you take pills to control your A1C and blood glucose levels? Examples: Metformin (Glucophage, Glumetza, Fortamet, Riomet), Glucotrol, Amaryl, DiaBeta, Blynase PresTab, Micronase, Actos, Avandia, Precose, Glyset, Prandin, Starlix, Januvia, Onglyza, Tradjenta, Nesina, Invokana, Farxiga, Jardiance, Welchol, and Cyclocet",4016042,,Diabetic on oral treatment,Observation,SNOMED,Clinical Finding,S,170746002,skos:exactMatch,1,,,10/2,,"1, Yes | 0, No",,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,48,screening_survey,yesno,,1047,cmtrt_insln,,Do you inject insulin to control your blood glucose levels?,440922,,Diabetic on insulin,Observation,SNOMED,Clinical Finding,S,170747006,skos:closeMatch,0.75,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,49,screening_survey,yesno,,1048,cmtrt_glcs,,"Do you use other injections to control your blood glucose levels?  Examples: Victoza, Ozempic, Symlin, Tanzeum, and Trulicity",36714369,,Diabetic on non-insulin injectable medication,Observation,SNOMED,Clinical Finding,S,719566006,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/25/2024,Yes,Yes,open-source,Yes,50,screening_survey,yesno,,1049,cmtrt_lfst,,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",2005200004,2005200004,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",Condition,AIREADI,Clinical Finding,S,,skos:exactMatch,1,,1148971005,10/2,,,,,,,,AIREADI,screening_survey,,Observation,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",:::,,,,
Original,6/23/2023,Yes,Yes,protected,No,51,screening_survey,radio,,1050,scrsex,,"What sex were you assigned at birth? That is, what is on your original birth certificate?",46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:closeMatch,1,,,10/2,,"F, Female | M, Male | I, Intersex | 888, Other | 777, Prefer not to say",,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,52,screening_survey,text,,1051,scrsexot,,Other (please specify),46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,LA6310-2,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,53,screening_survey,checkbox,,1052,ethnic,,"Are you of Hispanic, Latina/x or Spanish origin? Please check all that apply.",42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:exactMatch,1,,,10/2,,"C41222, No | C67113, Yes, Mexican | C67112, Yes, Puerto Rican | C107608, Yes, Cuban | C67117, Yes, Dominican Republic | C67118, Yes, Central American | C126532, Yes, South American | C999, Yes, Chicano | 888, Yes, Other | 777, Prefer not to say",,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,54,screening_survey,text,,1053,ethnicot,,Other (please specify),42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:exactMatch,1,,LA6310-2,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,protected,No,55,screening_survey,calc,,1054,ethnicscore,, Hispanic score (needed for demographics screening logic),42868351,,"Hispanic, latino-a, or spanish origin",Observation,LOINC,Clinical Observation,S,69854-8,skos:closeMatch,1,,,10/2,,"if([rp_childpot] = '0' and [mhterm_dm1] = '0' and [screen_nd(999)] = '0', if(sum([ethnic(C67113)],[ethnic(C67112)],[ethnic(C107608)],[ethnic(C67117)],[ethnic(C67118)],[ethnic(C126532)],[ethnic(C999)],[ethnic(888)]) >= 1, 1, 0), '')",,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,56,screening_survey,checkbox,,1055,race,,How would you describe your race/ethnicity? (check all that apply),3050381,,Race or ethnicity,Observation,LOINC,Clinical Observation,S,46463-6,skos:closeMatch,1,,,10/2,,"C17459, American Indian or Alaska Native | C41260, Asian | C16352, Black or African American | C77820, Middle Eastern | C41219, Native Hawaiian or Pacific Islander | C77813, North African | C41261, White or Caucasian | 888, Other race, ethnicity or origin | 777, Prefer not to say",,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,protected,No,57,screening_survey,text,,1056,raceot,,Other (please describe),3050381,,Race or ethnicity,Observation,LOINC,Clinical Observation,S,46463-6,skos:closeMatch,1,,LA6310-2,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,58,screening_survey,text,,1057,racetrib,,Tribal affiliation (please describe),36660477,,Tribal affiliation,Observation,LOINC,Clinical Observation,S,95370-3,skos:closeMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,protected,No,59,screening_survey,radio,,1058,race2,,Which one of these groups would you say best represents your race?,3046853,,Race,Observation,LOINC,Clinical Observation,S,32624-9,skos:closeMatch,1,,,10/2,,"C17459, American Indian or Alaska Native | C41260, Asian | C16352, Black or African American | C77820, Middle Eastern | C41219, Native Hawaiian or other Pacific Islander | C77813, North African | C41261, White or Caucasian | 888, Other race, ethnicity or origin | 777, Prefer not to say",,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,protected,No,60,screening_survey,text,,1059,ancestry,,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",2005200499,,Your Ancestry or National Origins,Observation,AIREADI,Survey,S,cope_a_11,skos:relatedMatch,0.5,,Removed local extension code 2005200005,10/2,,,,,,,,AIREADI,screening_survey,,Observation,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",cope_a_11:cope_a_11:cope_a_11:,,,,
Changed,4/25/2024,Yes,Yes,open-source,Yes,61,screening_survey,text,,1060,scrstartts,, Screening Survey Started Timestamp (from REDCap),2005200006,2005200006, Screening Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Started Timestamp (from REDCap),:::,,sec,seconds,8555
Changed,4/25/2024,Yes,Yes,open-source,Yes,62,screening_survey,text,,1061,scrcmpts,, Screening Survey Completed Timestamp (from REDCap),2005200007,2005200007, Screening Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Completed Timestamp (from REDCap),:::,,sec,seconds,8555
Original,6/23/2023,No,Yes,protected,No,63,screening_survey,text,,1062,racescore,, Race raw value (checkbox & radio),none - OPS,,,,,,,,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,protected,No,64,screening_survey,text,,1063,racerawvalue_1,, Race raw value (checkbox),none - OPS,,,,,,,,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,protected,No,65,screening_survey,text,,1064,racerawvalue_2,, Race raw value (radio),none - OPS,,,,,,,,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,Yes,66,preconsent_survey,text,,1065,preconcmpdat,,Pre-consent survey/form date (date survey/form opened),2005200422,2005200422,Performed date of Pre-consent survey/form,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,4/2/2024,No,No,locked (unavailable),No,67,preconsent_survey,text,,1066,crcid_prcon,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,68,preconsent_survey,checkbox,,1067,precon_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,LA10996-9,10/2,,"999, Pre-consent survey not done",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,69,preconsent_survey,radio,,1068,icf_c16468,,"You have the option to continue to our informed consent document, which contains more details on the data to be collected, as well as your rights as a volunteer. You also have the option to request that a study team member call you to answer any questions you have, or choose not to participate and exit this website.",none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Yes, I'd like to enroll in the study and complete the consent form | 2, I have questions and would like to receive a call from study staff | 0, No, I do not want to enroll in the study",,,,,,,,,,,,,,,
Changed,4/25/2024,Yes,Yes,open-source,Yes,70,preconsent_survey,text,,1069,preconstartts,, Pre-consent Survey Started Timestamp (from REDCap),2005200008,2005200008, Pre-consent Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Started Timestamp (from REDCap),:::,,sec,seconds,8555
Changed,4/25/2024,Yes,Yes,open-source,Yes,71,preconsent_survey,text,,1070,preconcmpts,, Pre-consent Survey Completed Timestamp (from REDCap),2005200009,2005200009, Pre-consent Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,,skos:exactMatch,1,,99423-6,10/2,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Completed Timestamp (from REDCap),:::,,sec,seconds,8555
Changed,4/30/2024,Yes,Yes,open-source,Yes,72,consent_survey,text,,1071,icf_dat,,Consent survey/form date (date survey/form opened),2005200423,2005200423,Performed date of Consent survey/form ,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,4/2/2024,No,No,locked (unavailable),No,73,consent_survey,text,,1072,crcid_icf,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,No,74,consent_survey,checkbox,,1073,icf_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,LA10996-9,10/2,,"999, Consent survey not done",,,,,,,,,,,,,,,
Original,6/23/2023,Yes,Yes,open-source,No,75,consent_survey,checkbox,,1074,c184390,,Paper consent obtained,3018196,,Informed consent obtained,Observation,LOINC,Clinical Observation,S,19826-7,skos:closeMatch,1,,,10/2,,"1, Check this box to confirm that paper consent was obtained",,,,,,,,,,,,,,,
Changed,4/30/2024,Yes,Yes,open-source,Yes,76,consent_survey,text,,1075,c184390_dat,,Date paper consent completed,2005200424,2005200424,Performed date of  paper consent,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,77,consent_survey,radio,,1076,icf_version,,Version,40770946,,Form version,Observation,LOINC,Survey,S,68356-5,skos:closeMatch,0.75,,,10/2,,"1, MM/DD/YYYY",,,,,,,,,,,,,,,
