concept_id,concept_name,domain_id,vocabulary_id,subvocabulary_id,concept_code,PREDICATE_ID,CONFIDENCE,predicate_label,provenance,,Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub (REDCap dataset),Protected or open-source?,Extension Needed,original sort order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,CONFIDENCE,MODIFIER,NOTES,Dev Version,,"Choices, Calculations, OR Slider Labels",Field Note,PhenX Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,MOCA_File_Fieldname,MOCA File Fieldname_Naming_Unit,MOCA_Example_Data,MOCA_Data_Type,MOCA_Value_Range,MOCA_Data_Description,Equivalent_NDA_MOCA_element_name (at https://nda.nih.gov/data_structure.html?short_name=moca01)
, Consent Survey Start Timestamp,Observation,AIREADI,consent_survey,99423-6,skos:relatedMatch,,,,,Original,6/23/2023,No,Yes,open-source,Yes,82,consent_survey,text,,1081,icfsvyts,, Consent Survey Start Timestamp,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,,,,10/2,,,,,,,,AIREADI,consent_survey,,Observation, Consent Survey Start Timestamp,99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
,Consent Survey Completed Timestamp,Observation,AIREADI,consent_survey,99423-6,skos:relatedMatch,,,,,Original,6/23/2023,No,Yes,open-source,Yes,83,consent_survey,text,,1082,icfcmpts,,Consent Survey Completed Timestamp,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,,,,10/2,,,,,,,,AIREADI,consent_survey,,Observation,Consent Survey Completed Timestamp,99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
,Participant Contact Survey Started Timestamp (from REDCap),Observation,AIREADI,participant_contact_information_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,locked (unavailable),Yes,105,participant_contact_information_survey,text,,1104,prtstartts,,Participant Contact Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,participant_contact_information_survey,,Observation,Participant Contact Survey Started Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,Participant Contact Survey Completed Timestamp (from REDCap),Observation,AIREADI,participant_contact_information_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,locked (unavailable),Yes,106,participant_contact_information_survey,text,,1105,prtcmpts,,Participant Contact Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,participant_contact_information_survey,,Observation,Participant Contact Survey Completed Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,Demographics Survey Started Timestamp (from REDCap),Observation,AIREADI,demographics_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,118,demographics_survey,text,,1117,dmgstartts,,Demographics Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,demographics_survey,,Observation,Demographics Survey Started Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,Demograhics Survey Completed Timestamp (from REDCap),Observation,AIREADI,demographics_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,119,demographics_survey,text,,1118,dmgcmpts,,Demograhics Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,demographics_survey,,Observation,Demograhics Survey Completed Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",Observation,AIREADI,health_survey,67434-1,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,126,health_survey,radio,,1125,mhoccur_circ,,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",40770062,,History of Problems with your heart or circulation [PhenX],Observation,LOINC,Clinical Observation,S,67434-1,0.5,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",#REF!,,,,,,,,,,,
,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",Meas Value,AIREADI,health_survey,LA20372-1,skos:narrowMatch,0.75,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,131,health_survey,radio,,1130,mhoccur_ad,,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",36210750,,Dementia,Meas Value,LOINC,Answer,S,LA20372-1,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",#REF!,,,,,,,,,,,
,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",Meas Value,AIREADI,health_survey,LA17005-2,skos:narrowMatch,0.75,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,144,health_survey,radio,,1143,mhoccur_ua,,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",45877281,,Urinary tract problems,Meas Value,LOINC,Answer,S,LA17005-2,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",#REF!,,,,,,,,,,,
,Kidney problems,Meas Value,AIREADI,health_survey,LA4591-9,skos:broadMatch,0.75,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,145,health_survey,radio,,1144,mhoccur_rnl,,Kidney problems,45881016,,Kidney,Meas Value,LOINC,Answer,S,LA4591-9,0.75,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,Kidney problems,#REF!,,,,,,,,,,,
,Were either of your parents diagnosed with Type II Diabetes?,Observation,AIREADI,health_survey,160303001,skos:closeMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,148,health_survey,radio,,1147,fh_dm2pt,,Were either of your parents diagnosed with Type II Diabetes?,4051114,,Family history of diabetes mellitus,Observation,SNOMED,Context-dependent,S,160303001,0.5,,,10/2,,"1, Yes | 0, No | 555, Unknown | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,Were either of your parents diagnosed with Type II Diabetes?,#REF!,,,,,,,,,,,
,Has a sibling been diagnosed with Type II Diabetes?,Observation,AIREADI,health_survey,430679000,skos:broadMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,150,health_survey,radio,,1149,fh_dm2sb,,Has a sibling been diagnosed with Type II Diabetes?,4334340,,Family history of diabetes mellitus type 2,Observation,SNOMED,Context-dependent,S,430679000,0.5,,,10/2,,"1, Yes | 0, No | 555, Unknown | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,Has a sibling been diagnosed with Type II Diabetes?,#REF!,,,,,,,,,,,
,Cataracts (in one or both eyes),Meas Value,AIREADI,health_survey,LA16306-5,skos:broadMatch,1,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,154,health_survey,radio,,1153,mhoccur_crt,,Cataracts (in one or both eyes),45876993,,Cataracts,Meas Value,LOINC,Answer,S,LA16306-5,1,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,Cataracts (in one or both eyes),#REF!,,,,,,,,,,,
, Health Survey Started Timestamp (from REDCap),Observation,AIREADI,health_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,162,health_survey,text,,1161,mhstartts,, Health Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,health_survey,,Observation, Health Survey Started Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
, Heath Survey Completed Timestamp (from REDCap),Observation,AIREADI,health_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,163,health_survey,text,,1162,mhcmpts,, Heath Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,health_survey,,Observation, Heath Survey Completed Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,How many total years have you smoked?,Observation,AIREADI,substance_use_survey,88029-4,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,170,substance_use_survey,dropdown,,1169,susmkstoage,,How many total years have you smoked?,36303803,,Tobacco use duration,Observation,LOINC,Clinical Observation,S,88029-4,0.5,,,10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 51, 51 | 52, 52 | 53, 53 | 54, 54 | 55, 55 | 56, 56 | 57, 57 | 58, 58 | 59, 59 | 60, 60 | 98, More than 60 years | 999, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,How many total years have you smoked?,#REF!,,,,,,,,,,,
,Have you had any beer or ale in the past year?,Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,175,substance_use_survey,radio,,1174,subrkncf,,Have you had any beer or ale in the past year?,4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,Have you had any beer or ale in the past year?,#REF!,,,,,,,,,,,
,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,176,substance_use_survey,dropdown,,1175,subrdosfr,,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14  or 2 drinks per night in a week | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 or 3 drinks per night in a week | 22, 22 to 28 | 29, 29 to 35 | 36, 36 or more | 999, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",#REF!,,,,,,,,,,,
,Have you had any wine in the past year?,Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,177,substance_use_survey,radio,,1176,suwnkncf,,Have you had any wine in the past year?,4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,Have you had any wine in the past year?,#REF!,,,,,,,,,,,
,"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,178,substance_use_survey,dropdown,,1177,suwndosfr,,"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 (1 bottle) | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (2 bottles) | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 (3 bottles) | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 (4 bottles) | 21, 21-25 (5 bottles) | 26, 26-30 (6 bottles) | 31, 31-35 (7 bottles) | 35, More than 36 (greater than 7 bottles) | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",#REF!,,,,,,,,,,,
,"Have you had any liquor in the past year, such as brandy, whiskey, vodka, gin, schnapps, cocktails, or liqueurs?",Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,179,substance_use_survey,radio,,1178,sulqkncf,,"Have you had any liquor in the past year, such as brandy, whiskey, vodka, gin, schnapps, cocktails, or liqueurs?",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,"Have you had any liquor in the past year, such as brandy, whiskey, vodka, gin, schnapps, cocktails, or liqueurs?",#REF!,,,,,,,,,,,
,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",Observation,AIREADI,substance_use_survey,363905002,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,180,substance_use_survey,dropdown,,1179,sulqdosfr,,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",4238768,,Details of alcohol drinking behavior,Observation,SNOMED,Observable Entity,S,363905002,0.25,,,10/2,,"0, Less than 1 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 (or 1 per day) | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 (or 2 per day) | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 (or 3 per day) | 22, 22-28 | 29, 29-35 | 36, More than 36 | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,"During the average week, how many 1.5 oz. of liquor do you usually drink, either as shots or in mixed cocktails? (Number of drinks per week)",#REF!,,,,,,,,,,,
,"Do you drive after having a drink, even if it is only one drink?",Observation,AIREADI,substance_use_survey,405137009,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,181,substance_use_survey,radio,,1180,sualcdrv,,"Do you drive after having a drink, even if it is only one drink?",4226563,,Risk control behavior: alcohol use,Observation,SNOMED,Observable Entity,S,405137009,0.25,,,10/2,,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,"Do you drive after having a drink, even if it is only one drink?",#REF!,,,,,,,,,,,
,Have you ever vaped or used e-cigarettes?,Observation,AIREADI,substance_use_survey,OMOP5181836,skos:broadMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,182,substance_use_survey,radio,,1181,suvpkncf1,,Have you ever vaped or used e-cigarettes?,903655,,Electronic cigarette smoker,Observation,SNOMED,OMOP Extension,S,OMOP5181836,0.25,,,10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,Have you ever vaped or used e-cigarettes?,#REF!,,,,,,,,,,,
,At what age did you start vaping or using e-cigarettes? (Age started - years old),Observation,AIREADI,substance_use_survey,OMOP5181836,skos:narrowMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,183,substance_use_survey,dropdown,,1182,suvpstage,,At what age did you start vaping or using e-cigarettes? (Age started - years old),903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,1,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 51, 51 | 52, 52 | 53, 53 | 54, 54 | 55, 55 | 56, 56 | 57, 57 | 58, 58 | 59, 59 | 60, 60 | 98, More than 60 years old | 999, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,At what age did you start vaping or using e-cigarettes? (Age started - years old),#REF!,,,,,,,,,,,
,Do you vape or use e-cigarettes now?,Observation,AIREADI,substance_use_survey,OMOP5181836,skos:narrowMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,184,substance_use_survey,radio,,1183,suvpcdur,,Do you vape or use e-cigarettes now?,903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,2,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,Do you vape or use e-cigarettes now?,#REF!,,,,,,,,,,,
,How many total years have you vaped or used e-cigarettes?,Observation,AIREADI,substance_use_survey,OMOP5181836,skos:narrowMatch,0.25,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,185,substance_use_survey,dropdown,,1184,suvptoage,,How many total years have you vaped or used e-cigarettes?,903655,,Electronic cigarette smoker,Observation,OMOP Extension,Clinical Finding,S,OMOP5181836,0.25,3,"1 = start age in years, 2= current user, 3= total number of years",10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 98, More than 20 years | 999, Prefer not to say",,,,,,AIREADI,substance_use_survey,,Observation,How many total years have you vaped or used e-cigarettes?,#REF!,,,,,,,,,,,
,"When you vaped or used e-cigarettes, approximately how many days in a typical week would you use it?",Observation,AIREADI,substance_use_survey,103335007,skos:broadMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,186,substance_use_survey,dropdown,,1185,suvpdosfr,,"When you vaped or used e-cigarettes, approximately how many days in a typical week would you use it?",4014044,,Duration,Observation,SNOMED,Attribute,S,103335007,0.5,,,10/2,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 999, Prefer not to answer",,,,,,AIREADI,substance_use_survey,,Observation,"When you vaped or used e-cigarettes, approximately how many days in a typical week would you use it?",#REF!,,,,,,,,,,,
