concept_name,concept_id_1,SRC_CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes,source
Words correctly repeated (2nd trial) score,2005200354,memory_trial2,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the words correctly repeated (2nd trial),2005200355,memory_trial2_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Repeating digits score,2005200356,digitspan,AIREADI-MOCA,,4153980,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the repeating digits task,2005200357,digitspan_time,AIREADI-MOCA,,4153980,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Letter tapping score,2005200358,lettera,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the letter tapping task,2005200359,lettera_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Serial 7 subtraction score,2005200360,subtraction,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the serial 7 subtraction task,2005200361,subtraction_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Repeats sentences II score,2005200362,repetition,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform repeats sentences II task,2005200363,repetition_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Maximal one-minute recall of words beginning with 'F' score,2005200364,verbal_fluency_language,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the words beginning with 'F' recall task,2005200365,verbal_fluency_language_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
MOCA abstraction score,2005200366,moca_abstraction,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform MOCA abstraction task,2005200367,moca_abstraction_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
MOCA delayed recall with no cue score,2005200368,delayed_recall_with_no_cue,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the MOCA delayed recall with no cue task,2005200369,delayed_recall_with_no_cue_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
"MOCA orientation date, month, year, day, place, city score",2005200370,moca_orientation,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",2005200371,moca_orientation_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Age in years (3-4 year span),2005200372,age_years_at_interview,AIREADI-MOCA,,3022304,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",2005200373,moca_combined_mis_score,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
VA Letter Score - Photopic VA - OD,2005200042,viaodplog,AIREADI-Vision,,21491740,,,,,,,,,,,,,,,,RedCap
VA Letter Score - Photopic VA - OS,2005200043,viaosplog,AIREADI-Vision,,21491741,,,,,,,,,,,,,,,,RedCap
Photopic LogMAR OD Score,2005200052,viaodpscore,AIREADI-Vision,,3036966,,,,,,,,,,,,,,,,RedCap
Photopic LogMAR OS Score,2005200053,viaospscore,AIREADI-Vision,,3037488,,,,,,,,,,,,,,,,RedCap
LLVA Letter Score - Mesopic VA - OD,2005200056,viaodmlog,AIREADI-Vision,,21491740,,,,,,,,,,,,,,,,RedCap
LLVA Letter Score - Mesopic VA - OS,2005200057,viaosmlog,AIREADI-Vision,,21491741,,,,,,,,,,,,,,,,RedCap
Mesopic LogMAR OD Score,2005200336,viaodmscore,AIREADI-Vision,,3036966,,,,,,,,,,,,,,,,RedCap
Mesopic LogMAR OS Score,2005200337,viaosmscore,AIREADI-Vision,,3037488,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Photopic VA - OD,2005200012,viaodpsf,AIREADI-Vision,,21491744,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Photopic VA - OS,2005200013,viaospsf,AIREADI-Vision,,21491745,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Mesopic VA - OD,2005200054,viaodmsf,AIREADI-Vision,,21491744,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Mesopic VA - OS,2005200055,viaosmsf,AIREADI-Vision,,21491745,,,,,,,,,,,,,,,,RedCap
EVA,2005200058,1,AIREADI-Vision,,21495306,,,,,,,,,,,,,,,,RedCap
"OD: Value of final correct letter - Mesopic, right eye",2005200486,mlcsodfcl,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OD: Number of misses prior to stopping - Mesopic, right eye",2005200487,mlcsodmiss,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OD: Log Contrast Sensitivity - Mesopic, right eye",2005200552,mlcsodlog,AIREADI-Vision,,4090077,,,,,,,,,,,,,,,,RedCap
"OS: Value of final correct letter - Mesopic, left eye",2005200488,mlcsosfcl,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OS: Number of misses prior to stopping - Mesopic, left eye",2005200489,mlcsosmiss,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OS: Log Contrast Sensitivity - Mesopic, left eye",2005200553,mlcsoslog,AIREADI-Vision,,4090077,,,,,,,,,,,,,,,,RedCap
"OD: Value of final correct letter - Photopic, right eye",2005200338,plcsodfcl,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OD: Number of misses prior to stopping - Photopic, right eye",2005200339,plcsodmiss,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OD: Log Contrast Sensitivity - Photopic, right eye",2005200155,plcsodlog,AIREADI-Vision,,4090077,,,,,,,,,,,,,,,,RedCap
"OS: Value of final correct letter - Photopic, left eye",2005200340,plcsosfcl,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OS: Number of misses prior to stopping - Photopic, left eye",2005200341,plcsosmiss,AIREADI-Vision,,4256483,,,,,,,,,,,,,,,,RedCap
"OS: Log Contrast Sensitivity - Photopic, left eye",2005200156,plcsoslog,AIREADI-Vision,,4090077,,,,,,,,,,,,,,,,RedCap
OptoMed-Disc centered-CFP,2005200289,rtop_odd,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
OptoMed-Mac centered-CFP,2005200290,rtop_odm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-IR,2005200291,rtei_odir,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-FAF,2005200292,rtei_odfaf,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-CFP,2005200293,rtsm_odc,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Nasal-CFP,2005200294,rtsm_odn,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Temporal-CFP,2005200295,rtsm_odt,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon- Create Mosaic Image-CFP,2005200296,rtsm_odm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-ONH-RC-HR-OCT,2005200297,rtso_odo,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-PPole Mac-HR-61 lines-OCT,2005200298,rtso_odp,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,rtso_odm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Mac Cube-512x128-OCT,2005200300,rtci_odm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Disc Cube-200x200-OCT,2005200301,rtci_odd1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Macula 6x6-OCTA,2005200302,rtci_odm2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Disc 6x6-OCTA,2005200303,rtci_odd2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-3D Wide(H) 12x9-OCT,2005200200,rtma_odw,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-3D Macula 6x6-OCT,2005200201,rtma_odm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,rtma_odm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-3D(H)+Radial 12x9-OCT,2005200203,rttr_odr,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-Macula 6x6-OCTA,2005200204,rttr_odm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-Macula 12x12-OCTA,2005200205,rttr_odm2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
FLIO-Mac-HS,2005200304,rtfl_od,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
OptoMed-Disc centered-CFP,2005200289,rtop_osd,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
OptoMed-Mac centered-CFP,2005200290,rtop_osm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-IR,2005200291,rtei_osir,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-FAF,2005200292,rtei_osfaf,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Central-CFP,2005200293,rtsm_osc,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Nasal-CFP,2005200294,rtsm_osn,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon-UWF Temporal-CFP,2005200295,rtsm_ost,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Eidon- Create Mosaic Image-CFP,2005200296,rtsm_osm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-ONH-RC-HR-OCT,2005200297,rtso_oso,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-PPole Mac-HR-61 lines-OCT,2005200298,rtso_osp,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,rtso_osm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Mac Cube-512x128-OCT,2005200300,rtci_osm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Disc Cube-200x200-OCT,2005200301,rtci_osd1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Macula 6x6-OCTA,2005200302,rtci_osm2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Cirrus-Disc 6x6-OCTA,2005200303,rtci_osd2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-3D Wide(H) 12x9-OCT,2005200200,rtma_osw,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-3D Macula 6x6-OCT,2005200201,rtma_osm,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,rtma_osm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-3D(H)+Radial 12x9-OCT,2005200203,rttr_osr,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-Macula 6x6-OCTA,2005200204,rttr_osm1,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Triton-Macula 12x12-OCTA,2005200205,rttr_osm2,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
FLIO-Mac-HS,2005200304,rtfl_os,AIREADI-Vision,,45885156,,,,,,,,,,,,,,,,RedCap
Specify other,2005200485,cmrouteot,AIREADI,,"45883155",,,,,,,,,,,,,,,,RedCap
Specify other,2005200485,mhoccur_ot,AIREADI,,"45883155",,,,,,,,,,,,,,,,RedCap
"Have you had anything to eat or drink in the last six hours, including coffee or tea with milk or sugar or any other drink other than water?",2005200629,paate_6hr,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Physical Activity Monitor was worn on which wrist?,2005200206,dvamwenhand,AIREADI,,40768904,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_mi,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_cvdot,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_strk,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_clsh,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_hbp,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ua,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ear,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_pdr,AIREADI,,,,,,,,,,,,,,,,,,RedCap
"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",2005200627,1,AIREADI,,40770062,,,,,,,,,,,,,,,,RedCap
Stroke,2005200628,1,AIREADI,,40770062,,,,,,,,,,,,,,,,RedCap
"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",2005200015,1,AIREADI,,40770062,,,,,,,,,,,,,,,,RedCap
Kidney problems,2005200017,1,AIREADI,,45881016,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhterm_dm1,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Elevated A1C levels (elevated blood sugars),2005200547,1,AIREADI,,4152671,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,cesstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,cescmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,icfsvyts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,icfcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,dmgstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,dmgcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Device returned,2005200589,dcvgmenyn,AIREADI,,44811193,,,,,,,,,,,,,,,,RedCap
Device returned,2005200589,dvenvenyn,AIREADI,,44811193,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,dmlstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,dmlcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,dietstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,dietcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,faqstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,faqcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_circ,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_lbp,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_pd,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ad,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhcat_adot,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhcat_dmtaot,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_cogn,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ms,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_cns,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Neurocognitive disorder please specify,2005200455,mhoccur_cnsot,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ra,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_oa,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ca,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Other cancer type please (specify),2005200459,mhoccur_cnrot,AIREADI,,45884514,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_plm,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_gi,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_rnl,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_obs,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_glc,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_amd,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_crt,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_rvo,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhoccur_ded,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,mhstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,mhcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,viastartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,viacmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,paidstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,paidcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,preconstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,preconcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,pxfistartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,pxsficmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px270301_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,pxnestartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,pxnecmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px291201_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,pxrdcmpts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,pxrdstartts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px281501_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,pxsdohstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,pxsdohcmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px270201_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px011002_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px280301_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px281401_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px280801_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px11502_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px270101_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
PhenX MetaData,2005200102,px280901_metadata,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,recstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
Survey Completed Timestamp,2005200559,reccmpts,AIREADI,,44788181,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mh_a1c,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhterm_dm2,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,2005200014,mhterm_predm,AIREADI,,,,,,,,,,,,,,,,,,RedCap
Survey Started Timestamp,2005200558,scrstartts,AIREADI,,4294901,,,,,,,,,,,,,,,,RedCap
