Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,temp_Question_or_Answer,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value,NOTES,Choices_Calculations_OR_Slider_Labels
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1506,Question,viaospsf,,Snellen fraction - Photopic VA - OS,2005200013,2005200013,Snellen fraction - Photopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,79881-9,
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1511,Question,viaodmsf,,Snellen fraction - Mesopic VA - OD,2005200054,2005200054,Snellen fraction - Mesopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,79880-1,
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1512,Question,viaosmsf,,Snellen fraction - Mesopic VA - OS,2005200055,2005200055,Snellen fraction - Mesopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,79881-9,
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,radio,viaomthd,3035,Answer,1,viaomthd_1,EVA,2005200058,2005200058,EVA,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,79908-0,
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,text,,1570,Question,mlcsodfcl,,OD: Value of final correct letter,2005200486,2005200486,"OD: Value of final correct letter - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,text,,1571,Question,mlcsodmiss,,OD: Number of misses prior to stopping,2005200487,2005200487,"OD: Number of misses prior to stopping - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,calc,,1572,Question,mlcsodlog,,OD: Log Contrast Sensitivity,2005200552,2005200552,"OD: Log Contrast Sensitivity - Mesopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 251686008","if([mlcscmpyn(999)] = '0', [mlcsodfcl] - ([mlcsodmiss] * 0.04), '')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,text,,1582,Question,mlcsosfcl,,OS: Value of final correct letter,2005200488,2005200488,"OS: Value of final correct letter - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,text,,1583,Question,mlcsosmiss,,OS: Number of misses prior to stopping,2005200489,2005200489,"OS: Number of misses prior to stopping - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,mesopic_mars,calc,,1584,Question,mlcsoslog,,OS: Log Contrast Sensitivity,2005200553,2005200553,"OS: Log Contrast Sensitivity - Mesopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Mesopic, left eye; 2=Mesopic, right eye; 3=Mesopic, binocular | 251686008","if([mlcscmpyn(999)] = '0', [mlcsosfcl] - ([mlcsosmiss] * 0.04), '')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,text,,1530,Question,plcsodfcl,,OD: Value of final correct letter,2005200338,2005200338,"OD: Value of final correct letter - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,text,,1531,Question,plcsodmiss,,OD: Number of misses prior to stopping,2005200339,2005200339,"OD: Number of misses prior to stopping - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,calc,,1532,Question,plcsodlog,,OD: Log Contrast Sensitivity,2005200155,2005200155,"OD: Log Contrast Sensitivity - Photopic, right eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,right,,45876703,Right eye,"1=Photopic, left eye; 2=Photopic, right eye, 3=Photopic, binocular | 251686008","if([plcscmpyn(999)] = '0', [plcsodfcl] - ([plcsodmiss] * 0.04), '')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,text,,1542,Question,plcsosfcl,,OS: Value of final correct letter,2005200340,2005200340,"OS: Value of final correct letter - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,text,,1543,Question,plcsosmiss,,OS: Number of misses prior to stopping,2005200341,2005200341,"OS: Number of misses prior to stopping - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Photopic, left eye; 2=Photopic, right eye; 3=Photopic, binocular | 410566008",
Changed,4/24/2025,Yes,Yes,open-source,Yes,photopic_mars,calc,,1544,Question,plcsoslog,,OS: Log Contrast Sensitivity,2005200156,2005200156,"OS: Log Contrast Sensitivity - Photopic, left eye",Measurement,AIREADI-Vision,Measurement,,S,skos:exactMatch,1,left,,45883829,Left eye,"1=Photopic, left eye; 2=Photopic, right eye, 3=Photopic, binocular | 251686008","if([plcscmpyn(999)] = '0', [plcsosfcl] - ([plcsosmiss] * 0.04), '')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtop_odd,,OptoMed-Disc centered-CFP,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtop_odm,,OptoMed-Mac centered-CFP,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtei_odir,,Eidon-UWF Central-IR,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtei_odfaf,,Eidon-UWF Central-FAF,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_odc,,Eidon-UWF Central-CFP,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_odn,,Eidon-UWF Nasal-CFP,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_odt,,Eidon-UWF Temporal-CFP,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_odm,,Eidon-Create Mosaic Image-CFP,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_odo,,Spec-ONH-RC-HR-OCT,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_odp,,Spec-PPole Mac-HR-61 lines-OCT,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_odm,,Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_odm1,,Cirrus-Mac Cube-512x128-OCT,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_odd1,,Cirrus-Disc Cube-200x200-OCT,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_odm2,,Cirrus-Macula 6x6-OCTA,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_odd2,,Cirrus-Disc 6x6-OCTA,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_odw,,M2-3D Wide(H) 12x9-OCT,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_odm,,M2-3D Macula 6x6-OCT,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_odm1,,M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_odr,,Triton-3D(H)+Radial 12x9-OCT,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_odm1,,Triton-Macula 6x6-OCTA,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_odm2,,Triton-Macula 12x12-OCTA,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtfl_od,,FLIO-Mac-HS,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtop_osd,,OptoMed-Disc centered-CFP,2005200289,2005200289,OptoMed-Disc centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtop_osm,,OptoMed-Mac centered-CFP,2005200290,2005200290,OptoMed-Mac centered-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtei_osir,,Eidon-UWF Central-IR,2005200291,2005200291,Eidon-UWF Central-IR,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtei_osfaf,,Eidon-UWF Central-FAF,2005200292,2005200292,Eidon-UWF Central-FAF,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_osc,,Eidon-UWF Central-CFP,2005200293,2005200293,Eidon-UWF Central-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_osn,,Eidon-UWF Nasal-CFP,2005200294,2005200294,Eidon-UWF Nasal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_ost,,Eidon-UWF temporal-CFP,2005200295,2005200295,Eidon-UWF Temporal-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtsm_osm,,Eidon- Create Mosaic Image-CFP,2005200296,2005200296,Eidon- Create Mosaic Image-CFP,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_oso,,Spec-ONH-RC-HR-OCT,2005200297,2005200297,Spec-ONH-RC-HR-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_osp,,Spec-PPole Mac-HR-61 lines-OCT,2005200298,2005200298,Spec-PPole Mac-HR-61 lines-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtso_osm,,Spec-Mac-20x20-HS-512 lines-OCTA,2005200299,2005200299,Spec-Mac-20x20-HS-512 lines-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_osm1,,Cirrus-Mac Cube-512x128-OCT,2005200300,2005200300,Cirrus-Mac Cube-512x128-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_osd1,,Cirrus-Disc Cube-200x200-OCT,2005200301,2005200301,Cirrus-Disc Cube-200x200-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_osm2,,Cirrus-Macula 6x6-OCTA,2005200302,2005200302,Cirrus-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtci_osd2,,Cirrus-Disc 6x6-OCTA,2005200303,2005200303,Cirrus-Disc 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_osw,,M2-3D Wide(H) 12x9-OCT,2005200200,2005200200,M2-3D Wide(H) 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_osm,,M2-3D Macula 6x6-OCT,2005200201,2005200201,M2-3D Macula 6x6-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtma_osm1,,M2-Mac 6x6-360x360-(rep3)-OCTA,2005200202,2005200202,M2-Mac 6x6-360x360-(rep3)-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_osr,,Triton-3D(H)+Radial 12x9-OCT,2005200203,2005200203,Triton-3D(H)+Radial 12x9-OCT,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_osm1,,Triton-Macula 6x6-OCTA,2005200204,2005200204,Triton-Macula 6x6-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rttr_osm2,,Triton-Macula 12x12-OCTA,2005200205,2005200205,Triton-Macula 12x12-OCTA,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/24/2025,Yes,Yes,open-source,Yes,retinal_imaging_v2,yesno,,,Question,rtfl_os,,FLIO-Mac-HS,2005200304,2005200304,FLIO-Mac-HS,Observation,AIREADI-Vision,Observable Entity,,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye,LA20770-6,
Changed,4/20/2025,No,No,locked (unavailable),No,consent_survey,radio,,1076,Question,icf_version,,Version,0,,Form version,Observation,LOINC,Survey,68356-5,S,skos:closeMatch,0.75,,,,,40770946,"1, MM/DD/YYYY"
Changed,4/18/2025,No,Yes,protected,Yes,current_medications,text,,1472,Question,cmrouteot,,"If Other, please specify:",2005200485,2005200485,Specify other,Observation,AIREADI,Survey,,S,skos:exactMatch,1,,,,,LA6310-2,
Changed,4/18/2025,No,Yes,protected,Yes,health_survey,text,,1158,Question,mhoccur_ot,,"If yes, please specify:",2005200485,2005200485,Specify other,Observation,AIREADI,Survey,,S,skos:exactMatch,1,,,,,LA6310-2,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,genderid,1889,Answer,1,genderid_1,Man (including transgender men),36308665,,Identifies as male,Meas Value,LOINC,Answer,LA22878-5,S,skos:exactMatch,1,,,,,,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,genderid,1890,Answer,2,genderid_2,Woman (including transgender women),36307702,,Identifies as female,Meas Value,LOINC,Answer,LA22879-3,S,skos:exactMatch,1,,,,,,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,genderid,1891,Answer,3,genderid_3,Non-binary,36309864,,Identifies as non-conforming,Meas Value,LOINC,Answer,LA22882-7,S,skos:exactMatch,1,,,,,,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,genderid,1892,Answer,888,genderid_888,Other,45878142,,Other,Meas Value,LOINC,Answer,LA46-8,S,skos:exactMatch,1,,,,,,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,genderid,1893,Answer,777,genderid_777,Prefer not to say,36311156,,Prefer not to say,Meas Value,LOINC,Answer,LA28803-7,S,skos:exactMatch,1,,,,,,
Changed,4/15/2025,No,Yes,locked (unavailable),No,demographics_survey,radio,,1115,Question,genderid,,What gender do you identify as?,46235215,,Gender identity,Observation,LOINC,Clinical Observation,76691-5,S,skos:exactMatch,1,,,,,,"1, Man (including transgender men) | 2, Woman (including transgender women) | 3, Non-binary | 888, Other | 777, Prefer not to say"
